"ScientificName","CommonName","order_name","family_nam","code","id_no","web_redlist","assessment_redlist","web_fishbase","SpecCode","DemersPelag","Vulnerability","Resilience"
"Aculeola nigra","hooktooth dogfish, Tollo negro, Tollo negro de cachos, Koukkuhammashai, Angel de l'Atlantique, Aculeola nigra, Ange de l'Atlantique, Squale noir, Squale noire, Haaktandlantaarnhaai","SQUALIFORMES","ETMOPTERIDAE","DD",44653,"http://www.iucnredlist.org/details/classify/44653/0","http://www.iucnredlist.org/pdflink.44653","http://www.fishbase.org/summary/Aculeola-nigra.html",644,"demersal",47.06,"Very low"
"Aetobatus flagellum","Eagle ray, Longheaded eagle ray, Plain eagleray, Whiptail bat ray, spotted eagle ray, Langkopadelaarsrog, Kodokuto","RAJIFORMES","MYLIOBATIDAE","EN",60119,"http://www.iucnredlist.org/details/classify/60119/0","http://www.iucnredlist.org/pdflink.60119","http://www.fishbase.org/summary/Aetobatus-flagellum.html",8973,"benthopelagic",64.43,"Low"
"Aetobatus narinari","Spikkel-arendrog, Gharabi, Lasgh'm rabidha, Tess, Tiss, Tiss or Tess, Tubaq, Shankar-machh, gefleckter Adlerrochen, Adlerrochen, Eagle ray, Bishop ray, Bonnet skate, Duckbil ray, Duckbill eagle-ray, Duckbill ray, Flying ray, Lady ray, Lang spotted eagle ray, Leopard ray, Maylan, Mottled eagle ray, Ray, Skate, Spotted bonnetray, Spotted duckbill ray, Spotted duckbilled ray, Spotted eagleray, Spotted edgle-ray, Spotted stingray, Spotted whipray, Spotted-eagle ray, Sunfish, Whip, Whip ray, White-spotted eagle ray, Whitespotted eagle ray, bonnetray, spotted eagle ray, Raya, Chucho, Chucho pintado, Gavilan pintado, Obispo, Pintada, Raya pico de pato, Wakawa, raya aguila, Ramak-e-khaldar, Vai tonotono, vai beka, Raie aigle, Raie chauve-souris, Raie noire, Wagaliu, Hihimanu, Hailepo, Lupe, Madara tobiei, Madara-tobi-ei, Pe manuk, Imil, Jimojo, Kakkathirandi, Pulli-kakka-thirandi, Vaval, Bolad, Wagli, Pari burung, Pari ayam, Pari helang, Pari lang, Pari lang lalat, Pari lung, Pari manok, Pari-lang bintik putih, Leik-kyauh-sun, Arendskoprog, Gevlekte adelaarsrog, Chili, Orlen centkowany, Arraia, Ajeru, Ajuru, Arraia-morcego, Arraia-pintada, Narinari, Papagaio, Pintada, Raia-chita, Raia-leopardo, Raia-pintada, Ratau ponteado, Vavoul maduva, Vavoi maduwa, Fai-manu, Fai-pe'a, Maylan, Leopardrocka, Kipungu, Pungu pijo, Pungu pua, Taachui, Curooway-tiriki, Kurivi thirukai, Valval thirukai, Vaval-thiru, Eel-tenkee, Krabane nog, Dalimanok, Pagi, Pagi-manok, Paging paul, Paol, Fai manu, Rai aeroai","RAJIFORMES","MYLIOBATIDAE","NT",39415,"http://www.iucnredlist.org/details/classify/39415/0","http://www.iucnredlist.org/pdflink.39415","http://www.fishbase.org/summary/Aetobatus-narinari.html",1250,"benthopelagic",74.46,"Very low"
"Aetomylaeus maculatus","Mottled eagle ray, Mottled eagle-ray, Ocellate eagle ray, Ornate eagle ray, Vulturine ray, bat ray, Ramak-e-mokhattat, Wagaliu, Bolad, Wagli, Pari kelawar, Pari lang, Pari-lang tompok putih, Gespikkelde adelaarsrog, Panjadiya, Neduvalai thirukai, Panjadi thirukai","RAJIFORMES","MYLIOBATIDAE","EN",60120,"http://www.iucnredlist.org/details/classify/60120/0","http://www.iucnredlist.org/pdflink.60120","http://www.fishbase.org/summary/Aetomylaeus-maculatus.html",12594,"reef-associated",56.08,"Low"
"Aetomylaeus nichofii","Banded eagle ray, Barbless eagle ray, Eagle ray, Neiuhof's eagle ray, Nieuhof's eagle ray, Nieuhof's eagle-ray, Ramak-e-khatkamani, Aigle vachette, Karaj, Aosuji tobiei, Aosuji-tobi-ei, Pe lamping, Pari burung, Kaniyen-thirandi, Boland, Pari-lang jalur, Pari kelawar, Pari lang, Gestreepte adelaarsrog, Tuppa kollee, Tuppa-kollee, Mookarah tinkee, Krabane nog","RAJIFORMES","MYLIOBATIDAE","VU",41717,"http://www.iucnredlist.org/details/classify/41717/0","http://www.iucnredlist.org/pdflink.41717","http://www.fishbase.org/summary/Aetomylaeus-nichofii.html",10120,"demersal",58.03,"Very low"
"Aetomylaeus vespertilio","Ornate eagle ray, Reticulate eagle ray, Vespertine eagle ray, Kuviokotkarausku, Pari lang, Pari kelawar, Pari-lang bunga, Sierlijke adelaarsrog, Krabane rang-gasae","RAJIFORMES","MYLIOBATIDAE","EN",60121,"http://www.iucnredlist.org/details/classify/60121/0","http://www.iucnredlist.org/pdflink.60121","http://www.fishbase.org/summary/Aetomylaeus-vespertilio.html",12599,"benthopelagic",55.58,"Low"
"Alopias pelagicus","Grootoog-sambokhaai, Kleintand-sambokhaai, Akno, Indopazifischer Fuchshai, Big-eye shark, Fox shark, Pelagic thresher, Small tooth thresher shark, Smalltooth thresher, Smalltooth thresher shark, Thresher, Thresher shark, Whiptail shark, pelagic thresher shark, Pejerrabo, Alopias superciliosus, Tiburon zorro, Zorro de mar, Kooseh-e-derazdom, Ulappakettuhai, Karibiankettuhai, Renard de mer, Requin renard, Requin-renard, Mano hi'uka, Mano laukahi'u, Pesce volpe occhio grosso, Squalo volpe pelagico, Hachiware, Nitari, Hwan-do-sang-o, Yu ekor panjang, Terng boi suar, Yu tikus, Grootoogvoshaai, Pelagische voshaai, Voshaai, Peixe-raposo, Chalarm hang-daab","LAMNIFORMES","ALOPIIDAE","VU",161597,"http://www.iucnredlist.org/details/classify/161597/0","http://www.iucnredlist.org/pdflink.161597","http://www.fishbase.org/summary/Alopias-pelagicus.html",5891,"pelagic-oceanic",73.16,"Very low"
"Alopias superciliosus","Grootoog-sambokhaai, Jarjur, Qatwa albahar, Guilla d'ulls grossos, Alopias megalomatos, Coleto, Big eye thresher shark, Big-eye shark, Big-eyed thresher, Bigeye thresher shark, Bigeye tresher, False thresher, Long-tailed shark, Thresher, Thresher shark, bigeye thresher, whiptail, zorro, Coleto, Azotador, Coludo cebucano, Pejerrabo, Pez zorro, Zorro blanco, Zorro de mar, Zorro negro, Zorro ojon, zorro, Karibiankettuhai, Renard a gros yeux, Mano hi'uka, Mano laukahi'u, Pesce volpe occhio grosso, Squalo volpe occhione, Hachiware, Tomanimanente, Terng boi suar, Yu ekor panjang, Yu mata besar, Grootoogvoshaai, Peixe-rato, Peixe-raposo, Raposo olhudo, Raposo-de-olhos-grandes, Zorro de olhos grandes, Zorro olho grande, Zorro-de-olhos-grandes","LAMNIFORMES","ALOPIIDAE","VU",161696,"http://www.iucnredlist.org/details/classify/161696/0","http://www.iucnredlist.org/pdflink.161696","http://www.fishbase.org/summary/Alopias-superciliosus.html",2534,"pelagic-oceanic",83.57,"Low"
"Alopias vulpinus","Fynstert-sambokhaai, Kalb, Jarjur, Qatwa al bahar, Watwa albahar, Guilla, Pesciu volpe, Raevehai, Drescher, Drescherhai, Fuchshai, Langschweif, Seefuchs, Aleposkylos, Alepouskylos, Common thresher shark, Atlantic thresher, Big-eye thresher, Coleto, Common thresher, Fox shark, Grayfish, Green thresher, Sea fox, Slasher, Swingletail, Swiveltail, Swivetail, Thintail thresher, Thrasher, Thresher, Thresher shark, Tresher shark, Whip-tailed shark, Zorro thresher shark, tresher, whip-tail shark, zorro, Coleto, Azotador, Chichi espada, Coludo, Coludo pinto, Grillo, Peje sable, Peje zorra, Peje zorro, Pejerrabo, Pejezorro, Pez espada, Pez palo, Pez zorro, Pichirata, Rabo de zorra, Raposa, Raposa marina, Tiburon zorro, Zorra, Zorra de mar, Zorro blanco, Zorro de mar, zorro, Kettuhai, Loup de mer, Faux, Renard, Renard de mer, Requin renard, Requin-renard, Requin-renard commun, Singe de mer, Thon blanc, renard marin, Lisica, Morska lisica, Pas lisica, Pas macun, Pas sabljas, Sabljorep, Mano 'ula, Pesce volpe, Pei ratu, Pesce bandiera, Pesce pavone, Pesce spada, Pesce volpe comune, Pesciu rattu, Pisce bandiera, Pisci bannera, Pisci cuda longa, Pisci cudutu, Pisci sciabula turca, Pisci surci, Ratto, Sorcio, Squalo volpe, Surci 'mperiali, Topo, Volpe, Volpe de mar, Volpe di mare, Mao-naga, Santira, Mango-ripi, Mangoo-ripi, Budenb, Pixxivolpi, Voshaai, Revehai, Raevehai, Kosogon, zorro, Peixe-rato, Rabilongo, Raposo, Romano, Zoro cauda longa, Zorra, cacao-raposa, tubarao-raposo, Rechin-vulpe, Peshkdhelper, Pas lisica, Lisica, Psina lisica, Karage, Papa kinengo, Papa kinengwe, Pating, Sapan, Sapan baligi, Ma'o aero","LAMNIFORMES","ALOPIIDAE","VU",39339,"http://www.iucnredlist.org/details/classify/39339/0","http://www.iucnredlist.org/pdflink.39339","http://www.fishbase.org/summary/Alopias-vulpinus.html",2535,"pelagic-oceanic",68.44,"Very low"
"Amblyraja badia","Broad skate, Raya ancha, Raie large, Brede rog","RAJIFORMES","RAJIDAE","LC",161452,"http://www.iucnredlist.org/details/classify/161452/0","http://www.iucnredlist.org/pdflink.161452","http://www.fishbase.org/summary/Amblyraja-badia.html",13209,"bathydemersal",58.37,"Low"
"Amblyraja doellojuradoi","Southern thorny skate","RAJIFORMES","RAJIDAE","LC",63122,"http://www.iucnredlist.org/details/classify/63122/0","http://www.iucnredlist.org/pdflink.63122","http://www.fishbase.org/summary/Amblyraja-doellojuradoi.html",54120,"demersal",71,"Low"
"Amblyraja frerichsi","Thickbody skate","RAJIFORMES","RAJIDAE","DD",44652,"http://www.iucnredlist.org/details/classify/44652/0","http://www.iucnredlist.org/pdflink.44652","http://www.fishbase.org/summary/Amblyraja-frerichsi.html",54121,"bathydemersal",71,"Low"
"Amblyraja georgiana","Antarctic starry skate, Amblyraja georgiana, Georgianrausku, Antarctische doornrog","RAJIFORMES","RAJIDAE","DD",161490,"http://www.iucnredlist.org/details/classify/161490/0","http://www.iucnredlist.org/pdflink.161490","http://www.fishbase.org/summary/Amblyraja-georgiana.html",6953,"bathydemersal",58.7,"Low"
"Amblyraja hyperborea","Arktisk rokke, Arktischer Rochen, Arctic skate, Blackbelly skate, Boreal skate, Darkbelly skate, Northern skate, artic skate, Eisrochen, Raie arctique, Arctische rog, Isskate, Raja polarna, Isrocka","RAJIFORMES","RAJIDAE","LC",63119,"http://www.iucnredlist.org/details/classify/63119/0","http://www.iucnredlist.org/pdflink.63119","http://www.fishbase.org/summary/Amblyraja-hyperborea.html",9256,"bathydemersal",61.3,"Low"
"Amblyraja jenseni","Jensens rokke, Jensens Rochen, Jensen's skate, Raie de Jensen, shorttail skate, Raie de Jensen, Jensens-skata","RAJIFORMES","RAJIDAE","LC",161491,"http://www.iucnredlist.org/details/classify/161491/0","http://www.iucnredlist.org/pdflink.161491","http://www.fishbase.org/summary/Amblyraja-jenseni.html",27757,"bathydemersal",53.88,"Low"
"Amblyraja radiata","morgath bigog, Sternrochen, Sternroche, Starry ray, Maiden ray, Thornback, Thorny back, miller, starry skate, thorny skate, Escrita, Raya radiante, Kynsirausku, Pinnagigga, Amblyraja radiata, Tindaskata, Agdlernak, Kollivsiuternak, Sterrog, Klorokke, Kloskate, Raja promienista, Plaszczka promienista, Raia-repregada, Raia repregada, Vatos spinos, Zvezdchatyi skat, Klorocka","RAJIFORMES","RAJIDAE","VU",161542,"http://www.iucnredlist.org/details/classify/161542/0","http://www.iucnredlist.org/pdflink.161542","http://www.fishbase.org/summary/Amblyraja-radiata.html",2565,"demersal",50.85,"Low"
"Amblyraja reversa","Reversed skate, Spiegelbeeldrog","RAJIFORMES","RAJIDAE","DD",161340,"http://www.iucnredlist.org/details/classify/161340/0","http://www.iucnredlist.org/pdflink.161340","http://www.fishbase.org/summary/Amblyraja-reversa.html",54089,"bathydemersal",71,"Low"
"Amblyraja robertsi","Bigmouth skate, Kitarausku, Grootbekrog","RAJIFORMES","RAJIDAE","LC",161322,"http://www.iucnredlist.org/details/classify/161322/0","http://www.iucnredlist.org/pdflink.161322","http://www.fishbase.org/summary/Amblyraja-robertsi.html",25570,"bathydemersal",51.93,"Low"
"Amblyraja taaf","Whiteleg skate, thorny skate, Witpootrog","RAJIFORMES","RAJIDAE","DD",161392,"http://www.iucnredlist.org/details/classify/161392/0","http://www.iucnredlist.org/pdflink.161392","http://www.fishbase.org/summary/Amblyraja-taaf.html",6954,"bathydemersal",55.38,"Low"
"Anacanthobatis americanus","Amerikansk lemmerokke, American legskate, American leg skate, Amerikanjalkarausku, Hoko-kasube, Amerikaanse pootrog","RAJIFORMES","ANACANTHOBATIDAE","DD",161481,"http://www.iucnredlist.org/details/classify/161481/0","http://www.iucnredlist.org/pdflink.161481","http://www.fishbase.org/summary/Anacanthobatis-americanus.html",NA,NA,NA,NA
"Anacanthobatis donghaiensis","East China leg skate, East china legskate, Oost-chinese pootrog","RAJIFORMES","ANACANTHOBATIDAE","DD",161356,"http://www.iucnredlist.org/details/classify/161356/0","http://www.iucnredlist.org/pdflink.161356","http://www.fishbase.org/summary/Anacanthobatis-donghaiensis.html",54441,"bathydemersal",37.15,"Low"
"Anacanthobatis folirostris","Bladsnudet lemmerokke, Leaf-nose leg skate, Leafnose legskate, Bladsnuitpootrog","RAJIFORMES","ANACANTHOBATIDAE","DD",161681,"http://www.iucnredlist.org/details/classify/161681/0","http://www.iucnredlist.org/pdflink.161681","http://www.fishbase.org/summary/Anacanthobatis-folirostris.html",51848,"bathydemersal",32.11,"Low"
"Anacanthobatis longirostris","Longnose leg skate, Longnose legskate, Langsnuitpootrog","RAJIFORMES","ANACANTHOBATIDAE","DD",161494,"http://www.iucnredlist.org/details/classify/161494/0","http://www.iucnredlist.org/pdflink.161494","http://www.fishbase.org/summary/Anacanthobatis-longirostris.html",51851,"bathydemersal",50.02,"Low"
"Anacanthobatis marmoratus","Plettet lemmerokke, Spotted legskate, Spotted leg skate, Marmerpootrog, Raia pintalgada","RAJIFORMES","ANACANTHOBATIDAE","DD",44600,"http://www.iucnredlist.org/details/classify/44600/0","http://www.iucnredlist.org/pdflink.44600","http://www.fishbase.org/summary/Anacanthobatis-marmoratus.html",NA,NA,NA,NA
"Anacanthobatis nanhaiensis","Sydkinesisk lemmerokke, South China leg skate, Zuid-chinese pootrog","RAJIFORMES","ANACANTHOBATIDAE","DD",161603,"http://www.iucnredlist.org/details/classify/161603/0","http://www.iucnredlist.org/pdflink.161603","http://www.fishbase.org/summary/Anacanthobatis-nanhaiensis.html",54439,"bathydemersal",37,"Low"
"Anacanthobatis ori","Sort lemmerokke, Black legskate, Black leg skate, Zwarte pootrog, Raia preta","RAJIFORMES","ANACANTHOBATIDAE","DD",44601,"http://www.iucnredlist.org/details/classify/44601/0","http://www.iucnredlist.org/pdflink.44601","http://www.fishbase.org/summary/Anacanthobatis-ori.html",NA,NA,NA,NA
"Anacanthobatis stenosoma","Narrow leg skate, Narrow legskate, Smalle pootrog","RAJIFORMES","ANACANTHOBATIDAE","DD",161670,"http://www.iucnredlist.org/details/classify/161670/0","http://www.iucnredlist.org/pdflink.161670","http://www.fishbase.org/summary/Anacanthobatis-stenosoma.html",NA,NA,NA,NA
"Anoxypristis cuspidata","Abusef, Sayyafah, Knivtandet savrokke, Karati hangar, Narrow sawfish, Pointed saw-fish, Pointed sawfish, Saw fish, Saw shark, Sawfish, knifetooth sawfish, Pez espada, Pejepeine, Pez sierra, Puukkosaharausku, Poisson-scie, Chhurio, Veher, Nokogiri-ei, Cucut krakas, Mungsing prampang, Pamprang, Pamprang, Parangpang, Pemprang, Prompran, Parangpang, Pemprang, Prompran, Billi sovulu, Chakku thatte, Naithatte, Makara sravu, Makarasravu, Vala sravu, Velli sravi, Nali, Win, shinavale, Yu parang, Beroi, Cucut gergaji, Kan sua, Pamprang, Parangpang, Pari-gergaji jarang, Pemprang, Prompran, Yu beroi, Yu gergaji, Yu todak, Mestandzaagrog, Vela, Iluppa, Hachutti meenu, Shinesi","RAJIFORMES","PRISTIDAE","EN",39389,"http://www.iucnredlist.org/details/classify/39389/0","http://www.iucnredlist.org/pdflink.39389","http://www.fishbase.org/summary/Anoxypristis-cuspidata.html",8211,"benthopelagic",77.96,"Low"
"Apristurus albisoma",NA,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC",41718,"http://www.iucnredlist.org/details/classify/41718/0","http://www.iucnredlist.org/pdflink.41718","http://www.fishbase.org/summary/Apristurus-albisoma.html",58249,"bathydemersal",50.12,"Very low"
"Apristurus ampliceps",NA,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC",42701,"http://www.iucnredlist.org/details/classify/42701/0","http://www.iucnredlist.org/pdflink.42701","http://www.fishbase.org/summary/Apristurus-ampliceps.html",64118,"bathydemersal",57.29,"Very low"
"Apristurus aphyodes","Heller Tiefwasserkatzenhai, White ghost catshark, Witte kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",44207,"http://www.iucnredlist.org/details/classify/44207/0","http://www.iucnredlist.org/pdflink.44207","http://www.fishbase.org/summary/Apristurus-aphyodes.html",54373,"bathypelagic",65.6,"Very low"
"Apristurus australis",NA,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD",42704,"http://www.iucnredlist.org/details/classify/42704/0","http://www.iucnredlist.org/pdflink.42704","http://www.fishbase.org/summary/Apristurus-australis.html",64107,"bathypelagic",49.7,"Very low"
"Apristurus brunneus","Brun kattehaj, Brauner Katzenhai, Brown catshark, Brown shark, brown cat shark, Ruskokissahai, Holbiche brune, Requin chat brun, Gattuccio bruno, Bruine kathaai, Bruine handshaai, Rekinek brunatny, Tubarao-castanho, Pata-roxa castanha, Brun Katthaj","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44209,"http://www.iucnredlist.org/details/classify/44209/0","http://www.iucnredlist.org/pdflink.44209","http://www.fishbase.org/summary/Apristurus-brunneus.html",763,"demersal",52.37,"Very low"
"Apristurus bucephalus","Bighead catshark","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",42703,"http://www.iucnredlist.org/details/classify/42703/0","http://www.iucnredlist.org/pdflink.42703","http://www.fishbase.org/summary/Apristurus-bucephalus.html",64119,"bathydemersal",53.68,"Very low"
"Apristurus canutus","Hoary cat shark, hoary catshark, Pejegato cano, Holbiche grise, Grauwe kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44572,"http://www.iucnredlist.org/details/classify/44572/0","http://www.iucnredlist.org/pdflink.44572","http://www.fishbase.org/summary/Apristurus-canutus.html",764,"bathydemersal",42.85,"Very low"
"Apristurus exsanguis",NA,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC",41719,"http://www.iucnredlist.org/details/classify/41719/0","http://www.iucnredlist.org/pdflink.41719","http://www.fishbase.org/summary/Apristurus-exsanguis.html",59467,"bathydemersal",58.5,"Very low"
"Apristurus fedorovi","Stout catshark, Stevige kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44210,"http://www.iucnredlist.org/details/classify/44210/0","http://www.iucnredlist.org/pdflink.44210","http://www.fishbase.org/summary/Apristurus-fedorovi.html",58230,"bathypelagic",53.06,"Very low"
"Apristurus gibbosus","Humpback cat shark, Humpback catshark, Gebochelde kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44211,"http://www.iucnredlist.org/details/classify/44211/0","http://www.iucnredlist.org/pdflink.44211","http://www.fishbase.org/summary/Apristurus-gibbosus.html",27225,"bathydemersal",88.08,"Very low"
"Apristurus herklotsi","Longfin cat shark, longfin catshark, Langvinkathaai, Pating","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44212,"http://www.iucnredlist.org/details/classify/44212/0","http://www.iucnredlist.org/pdflink.44212","http://www.fishbase.org/summary/Apristurus-herklotsi.html",765,"bathydemersal",45.78,"Very low"
"Apristurus indicus","Smallbelly cat shark, smallbelly catshark, Holbiche artouca, Kleinbuikkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",161470,"http://www.iucnredlist.org/details/classify/161470/0","http://www.iucnredlist.org/pdflink.161470","http://www.fishbase.org/summary/Apristurus-indicus.html",766,"bathydemersal",32.99,"Very low"
"Apristurus internatus","Shortnose demon catshark","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44213,"http://www.iucnredlist.org/details/classify/44213/0","http://www.iucnredlist.org/pdflink.44213","http://www.fishbase.org/summary/Apristurus-internatus.html",58250,"bathypelagic",39.73,"Very low"
"Apristurus investigatoris","Broadnose cat shark, broadnose catshark, Pejegato ato, Holbiche platnez, Breedsnuitkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44214,"http://www.iucnredlist.org/details/classify/44214/0","http://www.iucnredlist.org/pdflink.44214","http://www.fishbase.org/summary/Apristurus-investigatoris.html",767,"bathydemersal",27.89,"Very low"
"Apristurus japonicus","Japanese catshark, Japanese cat shark, Holbiche japonnaise, Holbiche japonaise, Nihon-herazame, Japanse kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",161367,"http://www.iucnredlist.org/details/classify/161367/0","http://www.iucnredlist.org/pdflink.161367","http://www.fishbase.org/summary/Apristurus-japonicus.html",768,"bathydemersal",54.79,"Low"
"Apristurus kampae","Longnose cat shark, longnose catshark, Gato trompudo, Pejegato trompudo, Holbiche tapir, Langsnuitkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44215,"http://www.iucnredlist.org/details/classify/44215/0","http://www.iucnredlist.org/pdflink.44215","http://www.fishbase.org/summary/Apristurus-kampae.html",769,"bathydemersal",49.53,"Very low"
"Apristurus laurussonii","Island-Tiefwasserkatzenhai, Atlantic ghost catshark, Atlantic ghost cat shark, Cat shark, Flathead cat shark, Iceland cat shark, Iceland catshark, Icelandic catshark, Madeira catshark, Medeira shark, flathead catshark, Pejegato de Madera, Pejegato islandico, Islanninkissahai, Apristurus laurussonii, Holbiche atlantique, Roussette d'Islande, Atlantische spookkathaai, Ijslandse kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44216,"http://www.iucnredlist.org/details/classify/44216/0","http://www.iucnredlist.org/pdflink.44216","http://www.fishbase.org/summary/Apristurus-laurussonii.html",770,"bathydemersal",56.1,"Very low"
"Apristurus longicephalus","Longhead cat shark, Smooth-belly catshark, Smoothbelly catshark, longhead catshark, Tengu-herazame, Langkopkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",44217,"http://www.iucnredlist.org/details/classify/44217/0","http://www.iucnredlist.org/pdflink.44217","http://www.fishbase.org/summary/Apristurus-longicephalus.html",771,"bathydemersal",50.14,"Very low"
"Apristurus macrorhynchus","Flathead cat shark, flathead catshark, Pejegato chato, Holbiche torazame, Naga-herazame, Platkopkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44218,"http://www.iucnredlist.org/details/classify/44218/0","http://www.iucnredlist.org/pdflink.44218","http://www.fishbase.org/summary/Apristurus-macrorhynchus.html",772,"bathydemersal",53.57,"Very low"
"Apristurus macrostomus","Broadmouth cat shark, Broadmouth catshark, Breedbekkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44219,"http://www.iucnredlist.org/details/classify/44219/0","http://www.iucnredlist.org/pdflink.44219","http://www.fishbase.org/summary/Apristurus-macrostomus.html",27226,"bathydemersal",39.35,"Very low"
"Apristurus manis","Geister-Tiefwasserkatzenhai, Ghost cat shark, ghost catshark, Pejegato fantasma, Spookkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",44599,"http://www.iucnredlist.org/details/classify/44599/0","http://www.iucnredlist.org/pdflink.44599","http://www.fishbase.org/summary/Apristurus-manis.html",774,"bathydemersal",57.5,"Very low"
"Apristurus melanoasper","Black roughscale catshark","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",42700,"http://www.iucnredlist.org/details/classify/42700/0","http://www.iucnredlist.org/pdflink.42700","http://www.fishbase.org/summary/Apristurus-melanoasper.html",62554,"bathypelagic",56.1,"Very low"
"Apristurus microps","Kleinaugen-Tiefwasserkatzenhai, Smalleye cat shark, smalleye catshark, Pejegato puerco, Holbiche porc, Kleinoogkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",44657,"http://www.iucnredlist.org/details/classify/44657/0","http://www.iucnredlist.org/pdflink.44657","http://www.fishbase.org/summary/Apristurus-microps.html",775,"bathydemersal",50.18,"Very low"
"Apristurus micropterygeus","Smalldorsal cat shark, Smalldorsal catshark, Smalrugkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44220,"http://www.iucnredlist.org/details/classify/44220/0","http://www.iucnredlist.org/pdflink.44220","http://www.fishbase.org/summary/Apristurus-micropterygeus.html",27227,"bathydemersal",35.86,"Very low"
"Apristurus nasutus","Grossnasenkatzenhai, Largenose cat shark, largenose catshark, Holbiche cyrano, Grootsnuitkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44573,"http://www.iucnredlist.org/details/classify/44573/0","http://www.iucnredlist.org/pdflink.44573","http://www.fishbase.org/summary/Apristurus-nasutus.html",776,"bathydemersal",54.72,"Very low"
"Apristurus parvipinnis","Smallfin cat shark, smallfin catshark, Pejegato mocho, Holbiche petites ailes, Karibu-herazame, Kleinvinkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44221,"http://www.iucnredlist.org/details/classify/44221/0","http://www.iucnredlist.org/pdflink.44221","http://www.fishbase.org/summary/Apristurus-parvipinnis.html",777,"bathydemersal",48.03,"Very low"
"Apristurus pinguis","Fat catshark, Bulldog catshark, Vette kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",44222,"http://www.iucnredlist.org/details/classify/44222/0","http://www.iucnredlist.org/pdflink.44222","http://www.fishbase.org/summary/Apristurus-pinguis.html",58251,"bathypelagic",57.53,"Very low"
"Apristurus platyrhynchus","Flatnose cat shark, Bigfin catshark, Borneo cat shark, Flatnose catshark, Spatula catshark, Spatulasnout cat shark, borneo catshark, spatulasnout catshark, Pejegato espatulado, Pejegato de Borneo, Holbiche spatule, Holbiche malaise, Holbiche spatula, Herazame, Vlaksnuitkathaai, Borneokathaai, Spatelsnuitkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",44223,"http://www.iucnredlist.org/details/classify/44223/0","http://www.iucnredlist.org/pdflink.44223","http://www.fishbase.org/summary/Apristurus-platyrhynchus.html",778,"bathypelagic",57.54,"Very low"
"Apristurus profundorum","Deepwater cat shark, Deep-water catshark, deepsea cat shark, deepwater catshark, Pejegato abisal, Holbiche papoila, Rosette de profondeur, Aki-herazame, Diepwaterkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44224,"http://www.iucnredlist.org/details/classify/44224/0","http://www.iucnredlist.org/pdflink.44224","http://www.fishbase.org/summary/Apristurus-profundorum.html",779,"bathydemersal",49.01,"Very low"
"Apristurus riveri","Broadgill cat shark, broadgill catshark, Gatica afilada, Holbiche grandes oreilles, Breedkieuwkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44639,"http://www.iucnredlist.org/details/classify/44639/0","http://www.iucnredlist.org/pdflink.44639","http://www.fishbase.org/summary/Apristurus-riveri.html",780,"bathydemersal",43.12,"Very low"
"Apristurus saldanha","Saldanha catshark, Saldanha cat shark, Holbiche gatussau, Saldanhakathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",44602,"http://www.iucnredlist.org/details/classify/44602/0","http://www.iucnredlist.org/pdflink.44602","http://www.fishbase.org/summary/Apristurus-saldanha.html",781,"bathydemersal",58.61,"Very low"
"Apristurus sibogae","pale catshark, Pale cat shark, Pale catshark pale catshark, Pejegato paliducho, Bleke kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",161672,"http://www.iucnredlist.org/details/classify/161672/0","http://www.iucnredlist.org/pdflink.161672","http://www.fishbase.org/summary/Apristurus-sibogae.html",782,"bathydemersal",24.56,"Very low"
