"ScientificName","CommonName","order_name","family_nam","code","id_no","web_redlist","assessment_redlist","web_fishbase","SpecCode","DemersPelag","Vulnerability","Resilience"
"Rhizoprionodon longurio","Pacifisk spidssnudet haj, Stillahavs-spidssnudet haj, Pazifischer Spitzmaulhai, Tollo, Pacific sharp-nose shark, Pacific sharp-nosed shark, Pacific sharpnose shark, Shark, Sharpnose shark, Tollo, Cazon bironche, Cazon picudo, Tollito, Ruskonokkahai, Rhizoprionodon longurio, Requin bironche, Squalo di terranuova, Squalo musoguzzo, Yu minyak, Yu muncung pasifik, Pacifische scherpsnuithaai, Pacifische spitssnuithaai, Tubarao-terranova, Stillahavs-spetsnoshaj","CARCHARHINIFORMES","CARCHARHINIDAE","DD",161662,"http://www.iucnredlist.org/details/classify/161662/0","http://www.iucnredlist.org/pdflink.161662","http://www.fishbase.org/summary/Rhizoprionodon-longurio.html",901,"benthopelagic",61.68,"Low"
"Rhizoprionodon oligolinx","Jarjur, Grey dog shark, Gray sharpnose shark, Sharpnose shark, grey sharpnose shark, Requin aiguille gris, Moosi, Ankou zame, Shivra, Pal sravu, Palsorrah, Yu minyak, Yu muncung minyak, Grijze scherpsnuithaai, Purrooway sorrah, Pal sorrah, Sem sorrah, Chalarm Paag-laem","CARCHARHINIFORMES","CARCHARHINIDAE","LC",41851,"http://www.iucnredlist.org/details/classify/41851/0","http://www.iucnredlist.org/pdflink.41851","http://www.fishbase.org/summary/Rhizoprionodon-oligolinx.html",902,"reef-associated",39.19,"Very low"
"Rhizoprionodon porosus","Caribisk spidssnudet haj, Caribbean sharpnose shark, Atlantic sharpnose shark, Sharpnose shark, Snook shark, Tollito, Cazon picudo, cazon de playa, Nokkahai, Rhizoprionodon porosus, Requin aiguille antillais, Caribische scherpsnuithaai, Figuinho, Frango","CARCHARHINIFORMES","CARCHARHINIDAE","LC",61407,"http://www.iucnredlist.org/details/classify/61407/0","http://www.iucnredlist.org/pdflink.61407","http://www.fishbase.org/summary/Rhizoprionodon-porosus.html",903,"reef-associated",50.73,"Very low"
"Rhizoprionodon taylori","Australsk spidssnudet haj, Australian sharpnose shark, Sharp-nosed shark, Taylor's shark, Taylors shark, Yu muncung kelabu, Australische scherpsnuithaai","CARCHARHINIFORMES","CARCHARHINIDAE","LC",41852,"http://www.iucnredlist.org/details/classify/41852/0","http://www.iucnredlist.org/pdflink.41852","http://www.fishbase.org/summary/Rhizoprionodon-taylori.html",904,"pelagic-oceanic",28.69,"Very low"
"Rhizoprionodon terraenovae","Atlantisk spidssnudet haj, Atlantischer Spitzmaulhai, Atlantic sharpnose shark, Atlantic sharp-nosed shark, Newfoundland shark, Sharp-nosed shark, White shark, Tollito, Atlantinnokkahai, Chien de mer, Requin aiguille, Requin aiguille gussi, Squalo di terranuova, Squalo musoguzzo, Atlantische scherpsnuithaai, Atlantische spitssnuithaai, Bicudo, Cucuri, Frango, Tubarao-terranova, Vitprickig spetsnoshaj, Cuur, Gaynde gu ndaw","CARCHARHINIFORMES","CARCHARHINIDAE","LC",39382,"http://www.iucnredlist.org/details/classify/39382/0","http://www.iucnredlist.org/pdflink.39382","http://www.fishbase.org/summary/Rhizoprionodon-terraenovae.html",905,"demersal",45.96,"Very low"
"Rhynchobatus australiae","Geigenrochen, Giant guitarfish, Fiddler, Guitarfish, Sandshark, Shovelnose shark, White-spotted guitarfish, White-spotted shovelnose ray, White-spotted shovelnosed guitarfish, White-spotted wedgefish, Whitespot ray, Whitespot shovelnose ray, Whitespotted guitarfish, Whitespotted wedgefish, Tongarisakata zame, Petong gitar, Liongbun, Pari, Pari-kemejan tompok putih, Yu kemejan, Yu kia-kia, Australische kegrog, Ronan jud-khao","RAJIFORMES","RHYNCHOBATIDAE","VU",41853,"http://www.iucnredlist.org/details/classify/41853/0","http://www.iucnredlist.org/pdflink.41853","http://www.fishbase.org/summary/Rhynchobatus-australiae.html",15380,"demersal",80.94,"Low"
"Rhynchobatus djiddensis","Reus-sandkruiper, Barbar, Ehreery, Fanto, Nawwam, Suss, Indo-pacifisk guitarfisk, Riesengeigenrochen, Geigenrochen, Giant guitarfish, Giant sandshark, Guitar fish, Plough fish, Sand shark, Sandy, Shark-ray, Shovel nose, Shovelnose, Spotted guitarfish, White spotted shovelnose guitarfish, White spotted shovelnose ray, White-spotted guitarfish, White-spotted shovelnose, White-spotted shovelnose ray, White-spotted wedgefish, Whitespot giant guitarfish, Whitespotted guitarfish, Whitespotted wedgefish, Pez cuna manchado, Saus-e-bozorg, qio uluvai, Violon, Grande raie guitare, Raie guitare, Requin raie, Bhuther, Dhons, Kasaj, Tongari-sakatazame, Etti-baliar, Sorobois, Soroboa, Varithlai, Lanj, Pok, Ranja, Yu kia-kia, Pari, Yu kemejan, Rhynchobatus djiddensis, Witgestippelde kegrog, Much-cho, Kiri uluva, Oolo-oolo shabeelley, Papa charawanza, Kachu-ulavai, Kachu-uluvai, Padanagan, Padanangan, Pal ulavai, Palunga, Nululavi, Tipiulavi, Walawah-tenkee, Bariwan, Pating sudsod, Sodsod, Sudsud","RAJIFORMES","RHYNCHOBATIDAE","VU",39394,"http://www.iucnredlist.org/details/classify/39394/0","http://www.iucnredlist.org/pdflink.39394","http://www.fishbase.org/summary/Rhynchobatus-djiddensis.html",5503,"reef-associated",75.76,"Low"
"Rhynchobatus laevis","Smoothnose wedgefish, Smooth nose wedgefish, Smoothnose wedgefish, Pari, Pari-kemejan sirip tinggi, Yu kemejan, Yu kia-kia, Gladneuskegrog","RAJIFORMES","RHYNCHOBATIDAE","VU",41854,"http://www.iucnredlist.org/details/classify/41854/0","http://www.iucnredlist.org/pdflink.41854","http://www.fishbase.org/summary/Rhynchobatus-laevis.html",57375,"demersal",80,"Low"
"Rhynchobatus luebberti","Afrikansk guitarfisk, Geigenrochen, Apla, Giant guitarfish, African wedgefish, Guitarra, Lubberts guitarfish, Spikenose wedgefish, pez cuna africano, Helmikitararausku, Poisson-paille africain, Raie guitare, Stekelsnuitkegrog, Viola, Viola-de-cunha","RAJIFORMES","RHYNCHOBATIDAE","EN",60180,"http://www.iucnredlist.org/details/classify/60180/0","http://www.iucnredlist.org/pdflink.60180","http://www.fishbase.org/summary/Rhynchobatus-luebberti.html",5017,"demersal",75.76,"Low"
"Rhynchobatus sp. nov. A","Smooth nose wedgefish","RAJIFORMES","RHYNCHOBATIDAE","VU",60181,"http://www.iucnredlist.org/details/classify/60181/0","http://www.iucnredlist.org/pdflink.60181","http://www.fishbase.org/summary/Rhynchobatus-sp. nov. A.html",NA,NA,NA,NA
"Rhynchobatus springeri","African wedgefish","RAJIFORMES","RHYNCHOBATIDAE","VU",60182,"http://www.iucnredlist.org/details/classify/60182/0","http://www.iucnredlist.org/pdflink.60182","http://www.fishbase.org/summary/Rhynchobatus-springeri.html",65550,"pelagic-neritic",72.33,NA
"Rioraja agassizii","Rio skate, Ray, Skate, Raya lisa, Riorog, Skate, Arraia-santa, Raia-santa","RAJIFORMES","ARHYNCHOBATIDAE","VU",63109,"http://www.iucnredlist.org/details/classify/63109/0","http://www.iucnredlist.org/pdflink.63109","http://www.fishbase.org/summary/Rioraja-agassizii.html",50857,"demersal",72.91,"Low"
"Rostroraja alba","Spiesneus-rog, Spiesneus, Spiesneus rog, Rajada blanca, Razza bianca, morgath wen, Spidsrokke, Spitzrochen, Bandroche, Bandrochen, Randrochen, Saumrochen, gerandeter Rochen, Lefkovatos, Salahi, White-bellied skate, Bordered ray, Bordered skate, Bottlenose, Bottlenose skate, Burton skate, Owl skate, Spearnose skate, White bordered skate, White bottle-nose skate, White or bottlenosed skate, White skate, bottlenosed skate, Raya picuda, Cavach, Clavel, Raya blanca, Raya bramante, Pullonokkarausku, Raie blanche, Blanquette, Mirayet, Petit raie-museau, Petite raie-museau, Pocheteau blanc, Volina bjelica, Vacche, Baraccoletta, Baracoleta, Chiamita, Mezzaraja, Moro, Picara liscia, Picaredda, Pichira liscia, Raja liscia, Rasa capusinha, Razza bianca, Hamiema, Witte rog, Raja siwa, Tairoga, Raia tairoga, Raia-branca, Raia-tairoga, Raia-teiroga, Vulpe alba, Raxhe, Raza bjelica, Spetsnosad rocka, Vatoz, Akvatoz baligi, Thiaukher","RAJIFORMES","RAJIDAE","EN",61408,"http://www.iucnredlist.org/details/classify/61408/0","http://www.iucnredlist.org/pdflink.61408","http://www.fishbase.org/summary/Rostroraja-alba.html",7613,"demersal",83.91,"Low"
"Schroederichthys bivius","narrowmouthed catshark, Narrowmouth cat shark, Narrowmouth catshark, Pintarroja, Pejegato bocachica, Holbiche blanche, Streepbekkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",39347,"http://www.iucnredlist.org/details/classify/39347/0","http://www.iucnredlist.org/pdflink.39347","http://www.fishbase.org/summary/Schroederichthys-bivius.html",838,"demersal",53.82,"Very low"
"Schroederichthys chilensis","Red-spotted cat shark, Chilean catshark, redspotted catshark, Pintarroja, Pintaroja, Pintarroja chilena, Tollo gato, Tollo manchado, Roodgevlekte kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44585,"http://www.iucnredlist.org/details/classify/44585/0","http://www.iucnredlist.org/pdflink.44585","http://www.fishbase.org/summary/Schroederichthys-chilensis.html",839,"demersal",49.72,"Very low"
"Schroederichthys maculatus","Narrowtail cat shark, narrowtail catshark, Pejegato rabo fino, Holbiche petite queue, Smalstaartkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",161544,"http://www.iucnredlist.org/details/classify/161544/0","http://www.iucnredlist.org/pdflink.161544","http://www.fishbase.org/summary/Schroederichthys-maculatus.html",840,"bathydemersal",32.74,"Very low"
"Schroederichthys saurisqualus","Lizard catshark","CARCHARHINIFORMES","SCYLIORHINIDAE","VU",44586,"http://www.iucnredlist.org/details/classify/44586/0","http://www.iucnredlist.org/pdflink.44586","http://www.fishbase.org/summary/Schroederichthys-saurisqualus.html",61185,"bathydemersal",53.13,"Very low"
"Schroederichthys tenuis","Slender cat shark, narrowmouthed catshark, slender catshark, Pejegato menudo, Holbiche mannequin, Kurakake-torazame, Slanke kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44587,"http://www.iucnredlist.org/details/classify/44587/0","http://www.iucnredlist.org/pdflink.44587","http://www.fishbase.org/summary/Schroederichthys-tenuis.html",842,"bathydemersal",54.72,"Very low"
