"PolygonID","MRGID","GeoName","MRGID_Ter1","Territory1","Sovereign1","ISO_Ter1","Area_km2","Nospecies","CR","EN","VU","rest"
208,8450,"Kiribati Exclusive Economic Zone (Phoenix Islands)",8658,"Phoenix Group","Kiribati","KIR",745700.775566,21,0,0,10,11
269,8441,"Kiribati Exclusive Economic Zone (Line Islands)",8657,"Line Group","Kiribati","KIR",1640932.58762,22,0,0,11,11
270,8488,"Kiribati Exclusive Economic Zone (Gilbert Islands)",17597,"Gilbert Islands","Kiribati","KIR",1053239.66469,25,0,0,12,13
128,8426,"Colombian Exclusive Economic Zone",2175,"Colombia","Colombia","COL",718163.16433,133,3,3,19,108
271,33183,"Colombian Exclusive Economic Zone (Quitasueño)",5765,"Quitasueno Bank","Colombia","COL",2838.08187939,30,2,2,9,17
272,33184,"Colombian Exclusive Economic Zone (Serrana)",5770,"Serrana Bank","Colombia","COL",3689.41076274,28,2,1,10,15
273,48984,"Colombian Exclusive Economic Zone (Serranilla)",5772,"Serranilla Bank","Colombia","COL",1552.47584257,36,2,1,9,24
274,48985,"Colombian Exclusive Economic Zone (Bajo Nuevo)",48983,"Bajo Nuevo Bank","Colombia","COL",1550.45737245,33,0,1,9,23
206,8403,"Ecuadorian Exclusive Economic Zone (Galapagos)",5660,"Galapagos","Ecuador","ECU",841431.77571,44,0,0,14,30
275,8431,"Ecuadorian Exclusive Economic Zone",2166,"Ecuador","Ecuador","ECU",236289.144622,75,1,3,12,59
80,8367,"Moroccan Exclusive Economic Zone",2221,"Morocco","Morocco","MAR",280453.136651,102,3,9,21,69
13,8466,"Argentinean Exclusive Economic Zone",2149,"Argentina","Argentina","ARG",1072785.76611,88,4,5,22,57
251,8483,"Malaysian Exclusive Economic Zone",2230,"Malaysia","Malaysia","MYS",510822.838776,125,3,9,40,73
881,49000,"Disputed area Melilla: Spain / Morocco",36288,"Melilla","Spain","ESP",27.0578785361,0,0,0,0,0
223,5693,"Spanish Exclusive Economic Zone",2185,"Spain","Spain","ESP",561681.917973,96,3,9,22,62
878,49001,"Disputed area Alhucemas Islands: Spain / Morocco",48995,"Alhucemas Islands","Spain","ESP",14.0577120537,0,0,0,0,0
876,48998,"Disputed area Perejil Island: Spain / Morocco",48994,"Perejil Island","Spain","ESP",0.641232913734,0,0,0,0,0
880,49002,"Disputed area Ceuta: Spain / Morocco",14864,"Ceuta","Spain","ESP",32.7176357482,0,0,0,0,0
877,48999,"Disputed area Peñón de Vélez de la Gomera: Spain / Morocco",48996,"La Gomera","Spain","ESP",3.68515325559,0,0,0,0,0
879,48997,"Disputed area Chafarinas Islands: Spain / Morocco",5363,"Chafarinas Islands","Spain","ESP",25.5080981045,0,0,0,0,0
882,49003,"Disputed area South China Sea",8603,"China",NA,"CHN",338839.158301,51,2,5,17,27
883,33176,"Disputed area: Kenya / Somalia",2118,"Kenya","Kenya","KEN",50229.5785767,52,0,2,20,30
