"PolygonID","MRGID","GeoName","MRGID_Ter1","Territory1","Sovereign1","ISO_Ter1","Area_km2","Nospecies","CR","EN","VU","rest"
90,8494,"Saint-Pierre and Miquelon Exclusive Economic Zone",8686,"Saint-Pierre and Miquelon","France","SPM",12413.8016754,21,0,3,6,12
91,8421,"Saint Vincent and the Grenadines Exclusive Economic Zone",8651,"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","VCT",36243.1925939,50,4,1,11,34
92,21803,"Sint-Maarten Exclusive Economic Zone",21802,"Sint-Maarten","Netherlands","SXM",465.987614666,0,0,0,0,0
93,8420,"Trinidad and Tobago Exclusive Economic Zone",2186,"Trinidad and Tobago","Trinidad and Tobago","TTO",76575.0360158,67,4,2,12,49
94,8405,"Turks and Caicos Exclusive Economic Zone",2211,"Turks and Caicos Islands","United Kingdom","TCA",91028.3310066,47,2,2,11,32
95,33180,"Virgin Islander Exclusive Economic Zone",8642,"United States Virgin Islands","United States","VIR",38290.0629235,52,3,2,9,38
96,5688,"Portuguese Exclusive Economic Zone",2243,"Portugal","Portugal","PRT",315475.133682,84,3,7,21,53
97,8428,"El Salvador Exclusive Economic Zone",2135,"El Salvador","El Salvador","SLV",95098.9801233,60,1,2,10,47
98,8457,"Belizean Exclusive Economic Zone",8681,"Belize","Belize","BLZ",34310.002032,54,3,2,9,40
99,8406,"Cuban Exclusive Economic Zone",8637,"Cuba","Cuba","CUB",352265.987352,94,3,2,16,73
100,8408,"Haitian Exclusive Economic Zone",8639,"Haiti","Haiti","HTI",103497.883331,55,2,2,11,40
101,33178,"Martinican Exclusive Economic Zone",8655,"Martinique","France","MTQ",47599.5553363,44,3,1,9,31
102,48964,"Joint regime area Senegal / Guinea Bissau",2225,"Senegal","Senegal","SEN",63504.9930222,84,4,6,18,56
103,48965,"Disputed area: Venezuela / Aruba / Dominican Republic",2201,"Venezuela","Venezuela","VEN",1114.61161769,0,0,0,0,0
104,48966,"Joint regime area Spain / France",17,"France","France","FRA",2859.50870608,26,0,0,8,18
105,48967,"Joint regime area United Kingdom / Denmark (Faeroe Islands)",2208,"United Kingdom","United Kingdom","GBR",7935.63728108,28,1,1,7,19
106,48943,"Disputed area: Canada / USA",2169,"Canada","Canada","CAN",23372.5712709,0,0,0,0,0
107,48968,"Joint regime area Costa Rica / Ecuador (Galapagos)",2162,"Costa Rica","Costa Rica","CRI",17337.2348417,16,0,0,10,6
108,8425,"Nicaraguan Exclusive Economic Zone",2255,"Nicaragua","Nicaragua","NIC",228251.857132,109,2,2,12,93
109,8460,"Guyanese Exclusive Economic Zone",2124,"Guyana","Guyana","GUY",135053.148853,70,3,2,13,52
110,48969,"Joint regime area Guyana / Barbados",8649,"Barbados","Barbados","BRB",67.1575217265,0,0,0,0,0
111,48970,"Joint regime area Colombia / Dominican Republic",8640,"Dominican Republic","Dominican Republic","DOM",13110.2397339,13,0,0,8,5
112,48971,"Disputed area: Venezuela / Colombia / Dominican Republic",2175,"Colombia","Colombia","COL",863.049826952,0,0,0,0,0
113,5681,"Irish Exclusive Economic Zone",2114,"Ireland","Ireland","IRL",426997.656893,71,1,3,13,54
114,21788,"Guernsey Exclusive Economic Zone",4377,"Guernsey","United Kingdom","GGY",6526.09735102,34,1,1,9,23
115,21789,"Jersey Exclusive Economic Zone",4378,"Jersey","United Kingdom","JEY",2276.9611741,34,1,1,9,23
116,8371,"Senegalese Exclusive Economic Zone",2225,"Senegal","Senegal","SEN",158604.115529,105,5,8,23,69
117,8471,"Guinea Bissau Exclusive Economic Zone",8685,"Guinea-Bissau","Guinea-Bissau","GNB",106745.931659,91,5,7,21,58
118,8472,"Guinean Exclusive Economic Zone",2122,"Guinea","Guinea","GIN",102165.349909,89,4,7,19,59
119,8473,"Ivory Coast Exclusive Economic Zone",2161,"Ivory Coast","Ivory Coast","CIV",172015.188351,86,4,7,19,56
120,33185,"Disputed area: Trinidad and Tobago / Venezuela / Guyana",2124,"Guyana","Guyana","GUY",3590.78552744,24,0,1,9,14
121,8391,"Liberian Exclusive Economic Zone",2105,"Liberia","Liberia","LBR",251776.275286,85,4,7,17,57
122,21792,"Joint regime area Colombia / Jamaica",8682,"Jamaica","Jamaica","JAM",15251.3689556,34,0,1,9,24
123,48972,"Joint regime area Honduras / Cayman Islands",2103,"Honduras","Honduras","HND",2075.80842569,19,0,1,9,9
124,48973,"Joint regime area Iceland / Denmark (Faeroe Islands)",3297,"Faeroe","Denmark","FRO",1282.12335338,15,0,1,2,12
125,8433,"Venezuelan Exclusive Economic Zone",2201,"Venezuela","Venezuela","VEN",472616.003707,97,4,2,15,76
126,8427,"Honduran Exclusive Economic Zone",2103,"Honduras","Honduras","HND",208534.450393,61,2,2,10,47
127,48974,"Joint regime area Ecuador / Colombia",2166,"Ecuador","Ecuador","ECU",18639.6879249,0,0,0,0,0
129,48975,"Joint regime area Iceland / Norway (Jan Mayen)",2129,"Iceland","Iceland","ISL",45504.5354559,3,0,0,1,2
131,8360,"United Arab Emirates Exclusive Economic Zone",2206,"United Arab Emirates","United Arab Emirates","ARE",52580.3217567,58,1,4,21,32
132,8376,"Cypriote Exclusive Economic Zone",2159,"Cyprus","Cyprus","CYP",98453.3205103,47,1,4,15,27
133,48947,"Disputed area: Iran / United Arab Emirates",2206,"United Arab Emirates","United Arab Emirates","ARE",6173.22489162,40,1,3,17,19
134,48956,"Disputed area Doumeira Islands: Djibouti / Eritrea",2111,"Eritrea","Eritrea","ERI",244.983278024,0,0,0,0,0
135,8490,"Egyptian Exclusive Economic Zone",3868,"Egypt","Egypt","EGY",243230.486587,96,2,9,33,52
136,8351,"Eritrean Exclusive Economic Zone",2111,"Eritrea","Eritrea","ERI",78108.5928819,55,2,4,22,27
137,5678,"Georgian Exclusive Economic Zone",2102,"Georgia","Georgia","GEO",22951.8826179,2,0,0,1,1
138,8469,"Iranian Exclusive Economic Zone",2126,"Iran","Iran","IRN",215347.604482,68,3,4,22,39
139,8374,"Lebanese Exclusive Economic Zone",2098,"Lebanon","Lebanon","LBN",20185.6097866,49,1,5,15,28
140,8372,"Libyan Exclusive Economic Zone",2194,"Libya","Libya","LBY",364446.950274,64,3,8,17,36
141,5685,"Maltese Exclusive Economic Zone",2217,"Malta","Malta","MLT",52913.4248289,54,4,5,17,28
142,8354,"Omani Exclusive Economic Zone",2251,"Oman","Oman","OMN",556485.906171,81,2,4,24,51
143,8356,"Saudi Arabian Exclusive Economic Zone",2215,"Saudi Arabia","Saudi Arabia","SAU",224137.855448,66,1,4,25,36
144,8346,"Sri Lankan Exclusive Economic Zone",2195,"Sri Lanka","Sri Lanka","LKA",533545.991412,97,3,7,30,57
145,8355,"Sudanese Exclusive Economic Zone",2183,"Sudan","Sudan","SDN",62825.9412341,52,1,4,22,25
146,8373,"Syrian Exclusive Economic Zone",3384,"Syria","Syria","SYR",10270.2553582,44,1,5,14,24
147,8392,"Togolese Exclusive Economic Zone",8632,"Togo","Togo","TGO",15439.2618032,80,4,7,18,51
148,5679,"Greek Exclusive Economic Zone",2099,"Greece","Greece","GRC",482874.187763,60,2,8,17,33
149,5697,"Turkish Exclusive Economic Zone",2213,"Turkey","Turkey","TUR",262134.62716,47,1,6,14,26
150,21790,"Monégasque Exclusive Economic Zone",2222,"Monaco","Monaco","MCO",287.610932884,0,0,0,0,0
151,8366,"Tunisian Exclusive Economic Zone",2214,"Tunisia","Tunisia","TUN",99763.7373247,68,3,9,19,37
152,5691,"Montenegrin Exclusive economic Zone",17831,"Montenegro","Montenegro","MNE",6382.36937715,50,2,7,17,24
153,5670,"Albanian Exclusive Economic Zone",2153,"Albania","Albania","ALB",12165.6105921,53,2,7,17,27
154,5672,"Bulgarian Exclusive Economic Zone",2174,"Bulgaria","Bulgaria","BGR",34752.8122073,3,0,0,1,2
155,48953,"Disputed area: Palestinian Exclusive Economic Zone",15525,"Palestine","Palestine","PSE",2329.73147998,46,1,4,16,25
156,8357,"Kuwaiti Exclusive Economic Zone",2115,"Kuwait","Kuwait","KWT",11182.5360034,43,2,3,17,21
157,8470,"Iraqi Exclusive Economic Zone",2125,"Iraq","Iraq","IRQ",1187.50111346,0,0,0,0,0
158,8358,"Bahraini Exclusive Economic Zone",2154,"Bahrain","Bahrain","BHR",7515.05531597,41,1,3,16,21
159,8468,"Qatari Exclusive Economic Zone",2242,"Qatar","Qatar","QAT",30648.8431247,42,1,3,16,22
160,8353,"Yemeni Exclusive Economic Zone",2199,"Yemen","Yemen","YEM",527382.733788,82,2,4,25,51
161,8375,"Israeli Exclusive Economic Zone",2123,"Israel","Israel","ISR",23511.4177216,53,1,5,17,30
162,8491,"Jordanian Exclusive Economic Zone",2120,"Jordan","Jordan","JOR",97.0835220622,0,0,0,0,0
163,8352,"Djiboutian Exclusive Economic Zone",2131,"Djibouti","Djibouti","DJI",7223.43334664,54,1,3,21,29
164,8481,"Bangladeshi Exclusive Economic Zone",2142,"Bangladesh","Bangladesh","BGD",112302.620749,83,4,6,26,47
166,8474,"Nigerian Exclusive Economic Zone",2253,"Nigeria","Nigeria","NGA",179050.962041,89,4,7,21,57
167,8475,"Cameroonian Exclusive Economic Zone",2170,"Cameroon","Cameroon","CMR",15140.979128,86,4,7,21,54
168,8397,"Sao Tome and Principe Exclusive Economic Zone",2238,"Sao Tome and Principe","Sao Tome and Principe","STP",130840.024661,63,2,3,16,42
169,21797,"Joint regime area Nigeria / Sao Tome and Principe",2238,"Sao Tome and Principe","Sao Tome and Principe","STP",34536.3549382,62,2,3,16,41
170,48976,"Joint regime area Italy / France",17,"France","France","FRA",67.0413063769,0,0,0,0,0
171,22491,"Bosnian and Herzegovinian Exclusive Economic Zone",2136,"Bosnia and Herzegovina","Bosnia and Herzegovina","BIH",12.9796793791,0,0,0,0,0
172,48957,"Guam Exclusive Economic Zone",8599,"Guam","United States","GUM",208211.490668,22,0,0,10,12
173,48955,"Disputed area Liancourt Rocks: Japan / South Korea",2121,"Japan","Japan","JPN",60573.9623814,37,0,0,10,27
174,8318,"Marshall Islands Exclusive Economic Zone",2226,"Marshall Islands","Marshall Islands","MHL",2001385.96498,27,0,0,14,13
175,8316,"Micronesian Exclusive Economic Zone",8595,"Micronesia","Micronesia","FSM",3010627.5342,28,0,0,14,14
176,8327,"South Korean Exclusive Economic Zone",8600,"South Korea","South Korea","KOR",310220.953983,90,0,4,22,64
177,48980,"Northern Mariana Exclusive Economic Zone",8598,"Northern Mariana Islands","United States","MNP",763555.008407,23,0,0,10,13
178,8315,"Palau Exclusive Economic Zone",8594,"Palau","Palau","PLW",614805.248533,29,0,1,14,14
179,8322,"Philippines Exclusive Economic Zone",2245,"Philippines","Philippines","PHL",1971039.86154,167,2,9,40,116
180,48954,"Disputed area Senkaku Islands: Japan / China / Taiwan",2177,"Taiwan","Taiwan","TWN",73777.0441761,118,1,2,26,89
181,8485,"Singaporean Exclusive Economic Zone",2190,"Singapore","Singapore","SGP",721.555202966,90,2,8,37,43
183,8332,"Thailand Exclusive Economic Zone",2207,"Thailand","Thailand","THA",298685.971043,105,3,9,38,55
184,8319,"Wake Island Exclusive Economic Zone",8597,"Wake Island","United States","UMI",407153.960988,18,0,0,10,8
185,8484,"Vietnamese Exclusive Economic Zone",2200,"Vietnam","Vietnam","VNM",750997.838971,121,3,8,35,75
186,21796,"Joint regime area Japan / Korea",8600,"South Korea","South Korea","KOR",82702.3311195,103,0,3,21,79
187,26521,"Bruneian Exclusive Economic Zone",2145,"Brunei","Brunei","BRN",43137.5920732,92,2,9,31,50
188,8321,"Taiwanese Exclusive Economic Zone",2177,"Taiwan","Taiwan","TWN",355471.949988,182,2,6,37,137
