"ScientificName","FBname","order_name","family_nam","DemersPelag","code","Vulnerability","Resilience","Length","LongevityWild","web_redlist","web_fishbase","CommonName","MarkRecapt_tags","MarkRecapt_mean","MarkRecapt_sd","passive_tags","passive_mean","passive_sd","satellite_tags","satellite_mean","satellite_sd"
"Miroscyllium sheikoi","Rasptooth dogfish","Squaliformes","Etmopteridae","bathypelagic","DD",36.91,"Low",NA,NA,"http://www.iucnredlist.org/details/classify/44564/0","http://www.fishbase.org/summary/Miroscyllium-sheikoi.html","Rasptooth dogfish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mitsukurina owstoni","Goblin shark","Lamniformes","Mitsukurinidae","bathydemersal","LC",90,"Very low",617,NA,"http://www.iucnredlist.org/details/classify/44565/0","http://www.fishbase.org/summary/Mitsukurina-owstoni.html","Kabouterhaai, Troldhaj, Japanischer nasenhai, Goblinhai, Koboldhai, Nasenhai, Teppichhai, Goblin shark, Elfin shark, Elphin shark, Japanese goblin shark, elphin (or elfin) shark, tengu (goblin) shark, Mitsukurina owstoni, tiburones duende, Peikkohai, Hiisihai, Requin lutin, Mitsukurina owstoni, Squalo folletto, Squalo goblin, Mitsukurizame, Teguzame, Tenguzame, Zoozame, aitvarinis ryklys, Neushaai, Japanese neushaai, Kabouterhaai, Koboldhaai, Schoffelneushaai, Nesehai, Mitsukurina, nasuta, Trollhaj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mobula eregoodootenkee","Longhorned mobula","Rajiformes","Mobulidae","pelagic-oceanic","NT",57.05,"Low",100,NA,"http://www.iucnredlist.org/details/classify/41832/0","http://www.fishbase.org/summary/Mobula-eregoodootenkee.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mobula hypostoma","Lesser devil ray","Rajiformes","Mobulidae","pelagic-neritic","DD",56.55,"Very low",120,NA,"http://www.iucnredlist.org/details/classify/161737/0","http://www.fishbase.org/summary/Mobula-hypostoma.html","Lesser devil ray, Atlantic devil ray, Atlantic devilray, Devil ray, Manta, Manta ray, Small devilfish, Raya, Diablo, Manta, Manta chica, Manta enana, Manta negra, manta del Golfo, Mante diable, Atlantische duivelsrog, Jamanta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mobula japanica","Spinetail mobula","Rajiformes","Mobulidae","reef-associated","NT",55.09,"Very low",310,NA,"http://www.iucnredlist.org/details/classify/41833/0","http://www.fishbase.org/summary/Mobula-japanica.html","Stekelstert-mobula, japanischer Rochen, Devilray, Devil ray, Japanese devil ray, Japanese devilray, Longhorned mobula, Manta, Manta ray, Mobula, Spinetail devil ray, spinetail mobula, Manta de espina, Mante aiguillat, Diable de mer japonais, Itomaki-ei, Plampangan, Cawang genul, Pari-paus ekor duri, Pari kalok, Pari kola, Pari paung, Pari paus, Gestekelde duivelsrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mobula kuhlii","Shortfin devil ray","Rajiformes","Mobulidae","pelagic-oceanic","DD",56.55,"Low",NA,NA,"http://www.iucnredlist.org/details/classify/161439/0","http://www.fishbase.org/summary/Mobula-kuhlii.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mobula mobular","Devil fish","Rajiformes","Mobulidae","pelagic-neritic","EN",54.63,"Low",520,NA,"http://www.iucnredlist.org/details/classify/39418/0","http://www.fishbase.org/summary/Mobula-mobular.html","Mantellina, Manta, Diavulu di mare, Vacca di mare, Teufelsrochen, Atlantischer Teufelsrochen, Kleiner Teufelsroche, Kleiner Teufelsrochen, Meeresteufel, Mittelmeer-Manta, Diavolopsaro, devilfish, Devil fish, Devil ray, Giant devil ray, Giant devilray, Horny ray, Manta, Manta, Manta mobula, Maroma, Sarvirausku, Mante, Diable de mer, Manta, Golub uhan, Diavolo di mare, Daddarita, Manta, Mobula, Muchio vacca, Patesse addo capre, Pesce vesque, Pescio vacca, Pipistrello, Pisci daddarita, Pisci sceccu, Vacca 'emare, Vescovo, Shing pakat, Manta, Baqra, Raja tal-qrun, Kleine dulvelsrog, Duivelsrog, Kleine duivelsrog, Mobula, Manta, Diabo-do-mar, Jamanta, Jimanta, Maroma, Ugemanta, Uja, Uje, Urjamanta, Diavol de mare, Lope deti, djalli i detit, lopa e detit, Manta, Kulaklifulya baligi, Seytan baligi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mobula munkiana","Munk's devil ray","Rajiformes","Mobulidae","pelagic-oceanic","NT",55.58,"Low",220,NA,"http://www.iucnredlist.org/details/classify/60198/0","http://www.fishbase.org/summary/Mobula-munkiana.html","Munk's devil ray, Devil ray, Manta de monk, Mobula, Munks devil ray, Pygmy devil ray, Smoothtail mobula, Manta chica, Diabolo manta, Manta de Munk, Manta raya, Tortilla, Mante de Munk, Dwergduivelsrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mobula rochebrunei","Lesser Guinean devil ray","Rajiformes","Mobulidae","pelagic-neritic","VU",56.55,"Low",133,NA,"http://www.iucnredlist.org/details/classify/161510/0","http://www.fishbase.org/summary/Mobula-rochebrunei.html","Manta, Lesser Guinean devil ray, Lesser Guinean mobula, Diablito de Guinea, Afrikaanse duivelsrog, Manta, Jamanta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mobula tarapacana","Chilean devil ray","Rajiformes","Mobulidae","reef-associated","DD",55.09,"Very low",328,NA,"http://www.iucnredlist.org/details/classify/60199/0","http://www.fishbase.org/summary/Mobula-tarapacana.html","Gestekelde mobula, Greater Guinean mobula, Box ray, Chilean devil ray, Devil ray, Sicklefin devil ray, Spiny mobula, Diablo gigante de Guinea, Diabolo gigante de guinea, Manta cornuada, Manta cornuda, Manta raya, Raya cornuda, Vaquetilla, Tropiikinpaholaisrausku, vai mataitalia, Diable de mer chilien, Mante chilienne, Pari cawang, Lampengan, Sikkelvinduivelsrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mobula thurstoni","Smoothtail mobula","Rajiformes","Mobulidae","pelagic-oceanic","NT",55.58,"Very low",220,NA,"http://www.iucnredlist.org/details/classify/60200/0","http://www.fishbase.org/summary/Mobula-thurstoni.html","Gladdestert-mobula, Bentfin devil ray, Bentfin devilray, Devil ray, Lesser devil ray, Manta, Mobula, Smooth tail devil ray, Smooth-tail mobula, Smoothtail mobula, Thurtons devil ray, smoothtail devil ray, Manta, Chupa sangre, Chupasangre, Diablo, Diablo chupasangre, Diablo manta, Manta diablo, Manta raya, manta doblada, Silopaholaisrausku, Mante vampire, Petite manta, Pari kalok, Pari kola, Pari paung, Pari paus, Pari-paus sirip lekuk, Gladstaartduivelsrog, Souki",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mollisquama parini","Pocket shark","Squaliformes","Dalatiidae","bathypelagic","DD",41.42,"Very low",NA,NA,"http://www.iucnredlist.org/details/classify/44515/0","http://www.fishbase.org/summary/Mollisquama-parini.html","Pocket shark, Vestzakdwerghaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
