"ScientificName","FBname","order_name","family_nam","DemersPelag","code","Vulnerability","Resilience","Length","LongevityWild","web_redlist","web_fishbase","CommonName","MarkRecapt_tags","MarkRecapt_mean","MarkRecapt_sd","passive_tags","passive_mean","passive_sd","satellite_tags","satellite_mean","satellite_sd"
"Aculeola nigra","Hooktooth dogfish","Squaliformes","Etmopteridae","demersal","DD",47.06,"Very low",60,NA,"http://www.iucnredlist.org/details/classify/44653/0","http://www.fishbase.org/summary/Aculeola-nigra.html","hooktooth dogfish, Tollo negro, Tollo negro de cachos, Koukkuhammashai, Angel de l'Atlantique, Aculeola nigra, Ange de l'Atlantique, Squale noir, Squale noire, Haaktandlantaarnhaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aetobatus flagellum","Longheaded eagle ray","Rajiformes","Myliobatidae","benthopelagic","EN",64.43,"Low",72,NA,"http://www.iucnredlist.org/details/classify/60119/0","http://www.fishbase.org/summary/Aetobatus-flagellum.html","Eagle ray, Longheaded eagle ray, Plain eagleray, Whiptail bat ray, spotted eagle ray, Langkopadelaarsrog, Kodokuto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aetobatus narinari","Spotted eagle ray","Rajiformes","Myliobatidae","reef-associated","NT",74.46,"Very low",330,NA,"http://www.iucnredlist.org/details/classify/39415/0","http://www.fishbase.org/summary/Aetobatus-narinari.html","Spikkel-arendrog, Gharabi, Lasgh'm rabidha, Tess, Tiss, Tiss or Tess, Tubaq, Shankar-machh, gefleckter Adlerrochen, Adlerrochen, Eagle ray, Bishop ray, Bonnet skate, Duckbil ray, Duckbill eagle-ray, Duckbill ray, Flying ray, Lady ray, Lang spotted eagle ray, Leopard ray, Maylan, Mottled eagle ray, Ray, Skate, Spotted bonnetray, Spotted duckbill ray, Spotted duckbilled ray, Spotted eagleray, Spotted edgle-ray, Spotted stingray, Spotted whipray, Spotted-eagle ray, Sunfish, Whip, Whip ray, White-spotted eagle ray, Whitespotted eagle ray, bonnetray, spotted eagle ray, Raya, Chucho, Chucho pintado, Gavilan pintado, Obispo, Pintada, Raya pico de pato, Wakawa, raya aguila, Ramak-e-khaldar, Vai tonotono, vai beka, Raie aigle, Raie chauve-souris, Raie noire, Wagaliu, Hihimanu, Hailepo, Lupe, Madara tobiei, Madara-tobi-ei, Pe manuk, Imil, Jimojo, Kakkathirandi, Pulli-kakka-thirandi, Vaval, Bolad, Wagli, Pari burung, Pari ayam, Pari helang, Pari lang, Pari lang lalat, Pari lung, Pari manok, Pari-lang bintik putih, Leik-kyauh-sun, Arendskoprog, Gevlekte adelaarsrog, Chili, Orlen centkowany, Arraia, Ajeru, Ajuru, Arraia-morcego, Arraia-pintada, Narinari, Papagaio, Pintada, Raia-chita, Raia-leopardo, Raia-pintada, Ratau ponteado, Vavoul maduva, Vavoi maduwa, Fai-manu, Fai-pe'a, Maylan, Leopardrocka, Kipungu, Pungu pijo, Pungu pua, Taachui, Curooway-tiriki, Kurivi thirukai, Valval thirukai, Vaval-thiru, Eel-tenkee, Krabane nog, Dalimanok, Pagi, Pagi-manok, Paging paul, Paol, Fai manu, Rai aeroai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aetomylaeus maculatus","Mottled eagle ray","Rajiformes","Myliobatidae","reef-associated","EN",56.08,"Low",200,NA,"http://www.iucnredlist.org/details/classify/60120/0","http://www.fishbase.org/summary/Aetomylaeus-maculatus.html","Mottled eagle ray, Mottled eagle-ray, Ocellate eagle ray, Ornate eagle ray, Vulturine ray, bat ray, Ramak-e-mokhattat, Wagaliu, Bolad, Wagli, Pari kelawar, Pari lang, Pari-lang tompok putih, Gespikkelde adelaarsrog, Panjadiya, Neduvalai thirukai, Panjadi thirukai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aetomylaeus nichofii","Banded eagle ray","Rajiformes","Myliobatidae","demersal","VU",58.03,"Very low",65,NA,"http://www.iucnredlist.org/details/classify/41717/0","http://www.fishbase.org/summary/Aetomylaeus-nichofii.html","Banded eagle ray, Barbless eagle ray, Eagle ray, Neiuhof's eagle ray, Nieuhof's eagle ray, Nieuhof's eagle-ray, Ramak-e-khatkamani, Aigle vachette, Karaj, Aosuji tobiei, Aosuji-tobi-ei, Pe lamping, Pari burung, Kaniyen-thirandi, Boland, Pari-lang jalur, Pari kelawar, Pari lang, Gestreepte adelaarsrog, Tuppa kollee, Tuppa-kollee, Mookarah tinkee, Krabane nog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aetomylaeus vespertilio","Ornate eagle ray","Rajiformes","Myliobatidae","benthopelagic","EN",55.58,"Low",240,NA,"http://www.iucnredlist.org/details/classify/60121/0","http://www.fishbase.org/summary/Aetomylaeus-vespertilio.html","Ornate eagle ray, Reticulate eagle ray, Vespertine eagle ray, Kuviokotkarausku, Pari lang, Pari kelawar, Pari-lang bunga, Sierlijke adelaarsrog, Krabane rang-gasae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alopias pelagicus","Pelagic thresher","Lamniformes","Alopiidae","pelagic-oceanic","VU",85.24,"Very low",347,29,"http://www.iucnredlist.org/details/classify/161597/0","http://www.fishbase.org/summary/Alopias-pelagicus.html","Grootoog-sambokhaai, Kleintand-sambokhaai, Akno, Indopazifischer Fuchshai, Big-eye shark, Fox shark, Pelagic thresher, Small tooth thresher shark, Smalltooth thresher, Smalltooth thresher shark, Thresher, Thresher shark, Whiptail shark, pelagic thresher shark, Pejerrabo, Alopias superciliosus, Tiburon zorro, Zorro de mar, Kooseh-e-derazdom, Ulappakettuhai, Karibiankettuhai, Renard de mer, Requin renard, Requin-renard, Mano hi'uka, Mano laukahi'u, Pesce volpe occhio grosso, Squalo volpe pelagico, Hachiware, Nitari, Hwan-do-sang-o, Yu ekor panjang, Terng boi suar, Yu tikus, Grootoogvoshaai, Pelagische voshaai, Voshaai, Peixe-raposo, Chalarm hang-daab",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alopias superciliosus","Bigeye thresher","Lamniformes","Alopiidae","pelagic-oceanic","VU",78.71,"Low",487.985,20,"http://www.iucnredlist.org/details/classify/161696/0","http://www.fishbase.org/summary/Alopias-superciliosus.html","Grootoog-sambokhaai, Jarjur, Qatwa albahar, Guilla d'ulls grossos, Alopias megalomatos, Coleto, Big eye thresher shark, Big-eye shark, Big-eyed thresher, Bigeye thresher shark, Bigeye tresher, False thresher, Long-tailed shark, Thresher, Thresher shark, bigeye thresher, whiptail, zorro, Coleto, Azotador, Coludo cebucano, Pejerrabo, Pez zorro, Zorro blanco, Zorro de mar, Zorro negro, Zorro ojon, zorro, Karibiankettuhai, Renard a gros yeux, Mano hi'uka, Mano laukahi'u, Pesce volpe occhio grosso, Squalo volpe occhione, Hachiware, Tomanimanente, Terng boi suar, Yu ekor panjang, Yu mata besar, Grootoogvoshaai, Peixe-rato, Peixe-raposo, Raposo olhudo, Raposo-de-olhos-grandes, Zorro de olhos grandes, Zorro olho grande, Zorro-de-olhos-grandes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alopias vulpinus","Thresher","Lamniformes","Alopiidae","pelagic-oceanic","VU",68.44,"Very low",760,25,"http://www.iucnredlist.org/details/classify/39339/0","http://www.fishbase.org/summary/Alopias-vulpinus.html","Fynstert-sambokhaai, Kalb, Jarjur, Qatwa al bahar, Watwa albahar, Guilla, Pesciu volpe, Raevehai, Drescher, Drescherhai, Fuchshai, Langschweif, Seefuchs, Aleposkylos, Alepouskylos, Common thresher shark, Atlantic thresher, Big-eye thresher, Coleto, Common thresher, Fox shark, Grayfish, Green thresher, Sea fox, Slasher, Swingletail, Swiveltail, Swivetail, Thintail thresher, Thrasher, Thresher, Thresher shark, Tresher shark, Whip-tailed shark, Zorro thresher shark, tresher, whip-tail shark, zorro, Coleto, Azotador, Chichi espada, Coludo, Coludo pinto, Grillo, Peje sable, Peje zorra, Peje zorro, Pejerrabo, Pejezorro, Pez espada, Pez palo, Pez zorro, Pichirata, Rabo de zorra, Raposa, Raposa marina, Tiburon zorro, Zorra, Zorra de mar, Zorro blanco, Zorro de mar, zorro, Kettuhai, Loup de mer, Faux, Renard, Renard de mer, Requin renard, Requin-renard, Requin-renard commun, Singe de mer, Thon blanc, renard marin, Lisica, Morska lisica, Pas lisica, Pas macun, Pas sabljas, Sabljorep, Mano 'ula, Pesce volpe, Pei ratu, Pesce bandiera, Pesce pavone, Pesce spada, Pesce volpe comune, Pesciu rattu, Pisce bandiera, Pisci bannera, Pisci cuda longa, Pisci cudutu, Pisci sciabula turca, Pisci surci, Ratto, Sorcio, Squalo volpe, Surci 'mperiali, Topo, Volpe, Volpe de mar, Volpe di mare, Mao-naga, Santira, Mango-ripi, Mangoo-ripi, Budenb, Pixxivolpi, Voshaai, Revehai, Raevehai, Kosogon, zorro, Peixe-rato, Rabilongo, Raposo, Romano, Zoro cauda longa, Zorra, cacao-raposa, tubarao-raposo, Rechin-vulpe, Peshkdhelper, Pas lisica, Lisica, Psina lisica, Karage, Papa kinengo, Papa kinengwe, Pating, Sapan, Sapan baligi, Ma'o aero",NA,NA,NA,NA,NA,NA,15,27.55733849,34.81522487
"Amblyraja badia","Broad skate","Rajiformes","Rajidae","bathydemersal","LC",59.59,"Low",86,NA,"http://www.iucnredlist.org/details/classify/161452/0","http://www.fishbase.org/summary/Amblyraja-badia.html","Broad skate, Raya ancha, Raie large, Brede rog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amblyraja doellojuradoi","Southern thorny skate","Rajiformes","Rajidae","demersal","LC",71.45,"Low",NA,NA,"http://www.iucnredlist.org/details/classify/63122/0","http://www.fishbase.org/summary/Amblyraja-doellojuradoi.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amblyraja frerichsi","Thickbody skate","Rajiformes","Rajidae","bathydemersal","DD",71.45,"Low",NA,NA,"http://www.iucnredlist.org/details/classify/44652/0","http://www.fishbase.org/summary/Amblyraja-frerichsi.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amblyraja georgiana","Antarctic starry skate","Rajiformes","Rajidae","bathydemersal","DD",59.73,"Low",100,NA,"http://www.iucnredlist.org/details/classify/161490/0","http://www.fishbase.org/summary/Amblyraja-georgiana.html","Antarctic starry skate, Amblyraja georgiana, Georgianrausku, Antarctische doornrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amblyraja hyperborea","Arctic skate","Rajiformes","Rajidae","bathydemersal","LC",61.3,"Low",106,NA,"http://www.iucnredlist.org/details/classify/63119/0","http://www.fishbase.org/summary/Amblyraja-hyperborea.html","Arktisk rokke, Arktischer Rochen, Arctic skate, Blackbelly skate, Boreal skate, Darkbelly skate, Northern skate, artic skate, Eisrochen, Raie arctique, Arctische rog, Isskate, Raja polarna, Isrocka",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amblyraja jenseni","Shorttail skate","Rajiformes","Rajidae","bathydemersal","LC",55.6,"Low",74.25,NA,"http://www.iucnredlist.org/details/classify/161491/0","http://www.fishbase.org/summary/Amblyraja-jenseni.html","Jensens rokke, Jensens Rochen, Jensen's skate, Raie de Jensen, shorttail skate, Raie de Jensen, Jensens-skata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amblyraja radiata","Starry ray","Rajiformes","Rajidae","demersal","VU",58.7,"Low",105,28,"http://www.iucnredlist.org/details/classify/161542/0","http://www.fishbase.org/summary/Amblyraja-radiata.html","morgath bigog, Sternrochen, Sternroche, Starry ray, Maiden ray, Thornback, Thorny back, miller, starry skate, thorny skate, Escrita, Raya radiante, Kynsirausku, Pinnagigga, Amblyraja radiata, Tindaskata, Agdlernak, Kollivsiuternak, Sterrog, Klorokke, Kloskate, Raja promienista, Plaszczka promienista, Raia-repregada, Raia repregada, Vatos spinos, Zvezdchatyi skat, Klorocka",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amblyraja reversa","Reversed skate","Rajiformes","Rajidae","bathydemersal","DD",71.45,"Low",NA,NA,"http://www.iucnredlist.org/details/classify/161340/0","http://www.fishbase.org/summary/Amblyraja-reversa.html","Reversed skate, Spiegelbeeldrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amblyraja robertsi","Bigmouth skate","Rajiformes","Rajidae","bathydemersal","LC",53.41,"Low",77,NA,"http://www.iucnredlist.org/details/classify/161322/0","http://www.fishbase.org/summary/Amblyraja-robertsi.html","Bigmouth skate, Kitarausku, Grootbekrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amblyraja taaf","Whiteleg skate","Rajiformes","Rajidae","demersal","DD",56.46,"Low",90,NA,"http://www.iucnredlist.org/details/classify/161392/0","http://www.fishbase.org/summary/Amblyraja-taaf.html","Whiteleg skate, thorny skate, Witpootrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anacanthobatis americanus",NA,"Rajiformes","Anacanthobatidae",NA,"DD",NA,NA,NA,NA,"http://www.iucnredlist.org/details/classify/161481/0","http://www.fishbase.org/summary/Anacanthobatis-americanus.html","Amerikansk lemmerokke, American legskate, American leg skate, Amerikanjalkarausku, Hoko-kasube, Amerikaanse pootrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anacanthobatis donghaiensis","East China leg skate","Rajiformes","Anacanthobatidae","bathydemersal","DD",37.15,"Low",44,NA,"http://www.iucnredlist.org/details/classify/161356/0","http://www.fishbase.org/summary/Anacanthobatis-donghaiensis.html","East China leg skate, East china legskate, Oost-chinese pootrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anacanthobatis folirostris","Leaf-nose leg skate","Rajiformes","Anacanthobatidae","bathydemersal","DD",32.11,"Low",40,NA,"http://www.iucnredlist.org/details/classify/161681/0","http://www.fishbase.org/summary/Anacanthobatis-folirostris.html","Bladsnudet lemmerokke, Leaf-nose leg skate, Leafnose legskate, Bladsnuitpootrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anacanthobatis longirostris","Longnose leg skate","Rajiformes","Anacanthobatidae","bathydemersal","DD",50.02,"Low",75,NA,"http://www.iucnredlist.org/details/classify/161494/0","http://www.fishbase.org/summary/Anacanthobatis-longirostris.html","Longnose leg skate, Longnose legskate, Langsnuitpootrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anacanthobatis marmoratus",NA,"Rajiformes","Anacanthobatidae",NA,"DD",NA,NA,NA,NA,"http://www.iucnredlist.org/details/classify/44600/0","http://www.fishbase.org/summary/Anacanthobatis-marmoratus.html","Plettet lemmerokke, Spotted legskate, Spotted leg skate, Marmerpootrog, Raia pintalgada",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anacanthobatis nanhaiensis","South China leg skate","Rajiformes","Anacanthobatidae","bathydemersal","DD",37,"Low",NA,NA,"http://www.iucnredlist.org/details/classify/161603/0","http://www.fishbase.org/summary/Anacanthobatis-nanhaiensis.html","Sydkinesisk lemmerokke, South China leg skate, Zuid-chinese pootrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anacanthobatis ori",NA,"Rajiformes","Anacanthobatidae",NA,"DD",NA,NA,NA,NA,"http://www.iucnredlist.org/details/classify/44601/0","http://www.fishbase.org/summary/Anacanthobatis-ori.html","Sort lemmerokke, Black legskate, Black leg skate, Zwarte pootrog, Raia preta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anacanthobatis stenosoma",NA,"Rajiformes","Anacanthobatidae",NA,"DD",NA,NA,NA,NA,"http://www.iucnredlist.org/details/classify/161670/0","http://www.fishbase.org/summary/Anacanthobatis-stenosoma.html","Narrow leg skate, Narrow legskate, Smalle pootrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anoxypristis cuspidata","Pointed sawfish","Rajiformes","Pristidae","benthopelagic","EN",77.96,"Low",470,NA,"http://www.iucnredlist.org/details/classify/39389/0","http://www.fishbase.org/summary/Anoxypristis-cuspidata.html","Abusef, Sayyafah, Knivtandet savrokke, Karati hangar, Narrow sawfish, Pointed saw-fish, Pointed sawfish, Saw fish, Saw shark, Sawfish, knifetooth sawfish, Pez espada, Pejepeine, Pez sierra, Puukkosaharausku, Poisson-scie, Chhurio, Veher, Nokogiri-ei, Cucut krakas, Mungsing prampang, Pamprang, Pamprang, Parangpang, Pemprang, Prompran, Parangpang, Pemprang, Prompran, Billi sovulu, Chakku thatte, Naithatte, Makara sravu, Makarasravu, Vala sravu, Velli sravi, Nali, Win, shinavale, Yu parang, Beroi, Cucut gergaji, Kan sua, Pamprang, Parangpang, Pari-gergaji jarang, Pemprang, Prompran, Yu beroi, Yu gergaji, Yu todak, Mestandzaagrog, Vela, Iluppa, Hachutti meenu, Shinesi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus albisoma",NA,"Carcharhiniformes","Scyliorhinidae","bathydemersal","LC",49.64,"Very low",59.6,NA,"http://www.iucnredlist.org/details/classify/41718/0","http://www.fishbase.org/summary/Apristurus-albisoma.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus ampliceps",NA,"Carcharhiniformes","Scyliorhinidae","bathydemersal","LC",57.29,"Very low",85.5,NA,"http://www.iucnredlist.org/details/classify/42701/0","http://www.fishbase.org/summary/Apristurus-ampliceps.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus aphyodes",NA,"Carcharhiniformes","Scyliorhinidae","bathypelagic","LC",64.23,"Very low",NA,NA,"http://www.iucnredlist.org/details/classify/44207/0","http://www.fishbase.org/summary/Apristurus-aphyodes.html","Heller Tiefwasserkatzenhai, White ghost catshark, Witte kathaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus australis",NA,"Carcharhiniformes","Scyliorhinidae","bathypelagic","DD",48.6,"Very low",61.6,NA,"http://www.iucnredlist.org/details/classify/42704/0","http://www.fishbase.org/summary/Apristurus-australis.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus brunneus","Brown catshark","Carcharhiniformes","Scyliorhinidae","demersal","DD",51.06,"Very low",69,NA,"http://www.iucnredlist.org/details/classify/44209/0","http://www.fishbase.org/summary/Apristurus-brunneus.html","Brun kattehaj, Brauner Katzenhai, Brown catshark, Brown shark, brown cat shark, Ruskokissahai, Holbiche brune, Requin chat brun, Gattuccio bruno, Bruine kathaai, Bruine handshaai, Rekinek brunatny, Tubarao-castanho, Pata-roxa castanha, Brun Katthaj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus bucephalus","Bighead catshark","Carcharhiniformes","Scyliorhinidae","bathydemersal","DD",52.25,"Very low",NA,NA,"http://www.iucnredlist.org/details/classify/42703/0","http://www.fishbase.org/summary/Apristurus-bucephalus.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus canutus","Hoary catshark","Carcharhiniformes","Scyliorhinidae","bathydemersal","DD",41.67,"Very low",43,NA,"http://www.iucnredlist.org/details/classify/44572/0","http://www.fishbase.org/summary/Apristurus-canutus.html","Hoary cat shark, hoary catshark, Pejegato cano, Holbiche grise, Grauwe kathaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus exsanguis",NA,"Carcharhiniformes","Scyliorhinidae","bathydemersal","LC",58.5,"Very low",90.8,NA,"http://www.iucnredlist.org/details/classify/41719/0","http://www.fishbase.org/summary/Apristurus-exsanguis.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus fedorovi",NA,"Carcharhiniformes","Scyliorhinidae","bathypelagic","DD",51.63,"Very low",68.3,NA,"http://www.iucnredlist.org/details/classify/44210/0","http://www.fishbase.org/summary/Apristurus-fedorovi.html","Stout catshark, Stevige kathaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus gibbosus","Humpback cat shark","Carcharhiniformes","Scyliorhinidae","bathydemersal","DD",87.38,"Very low",388,NA,"http://www.iucnredlist.org/details/classify/44211/0","http://www.fishbase.org/summary/Apristurus-gibbosus.html","Humpback cat shark, Humpback catshark, Gebochelde kathaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus herklotsi","Longfin catshark","Carcharhiniformes","Scyliorhinidae","bathydemersal","DD",44.41,"Very low",48.5,NA,"http://www.iucnredlist.org/details/classify/44212/0","http://www.fishbase.org/summary/Apristurus-herklotsi.html","Longfin cat shark, longfin catshark, Langvinkathaai, Pating",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus indicus","Smallbelly catshark","Carcharhiniformes","Scyliorhinidae","bathydemersal","DD",31.73,"Very low",34,NA,"http://www.iucnredlist.org/details/classify/161470/0","http://www.fishbase.org/summary/Apristurus-indicus.html","Smallbelly cat shark, smallbelly catshark, Holbiche artouca, Kleinbuikkathaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus internatus",NA,"Carcharhiniformes","Scyliorhinidae","bathypelagic","DD",38.69,"Very low",40.3,NA,"http://www.iucnredlist.org/details/classify/44213/0","http://www.fishbase.org/summary/Apristurus-internatus.html","Shortnose demon catshark",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus investigatoris","Broadnose catshark","Carcharhiniformes","Scyliorhinidae","bathydemersal","DD",27.12,"Very low",26,NA,"http://www.iucnredlist.org/details/classify/44214/0","http://www.fishbase.org/summary/Apristurus-investigatoris.html","Broadnose cat shark, broadnose catshark, Pejegato ato, Holbiche platnez, Breedsnuitkathaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus japonicus","Japanese catshark","Carcharhiniformes","Scyliorhinidae","bathydemersal","DD",53.22,"Low",71,NA,"http://www.iucnredlist.org/details/classify/161367/0","http://www.fishbase.org/summary/Apristurus-japonicus.html","Japanese catshark, Japanese cat shark, Holbiche japonnaise, Holbiche japonaise, Nihon-herazame, Japanse kathaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus kampae","Longnose catshark","Carcharhiniformes","Scyliorhinidae","bathydemersal","DD",49.18,"Very low",58.4,NA,"http://www.iucnredlist.org/details/classify/44215/0","http://www.fishbase.org/summary/Apristurus-kampae.html","Longnose cat shark, longnose catshark, Gato trompudo, Pejegato trompudo, Holbiche tapir, Langsnuitkathaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus laurussonii","Iceland catshark","Carcharhiniformes","Scyliorhinidae","bathydemersal","DD",54.86,"Very low",76,NA,"http://www.iucnredlist.org/details/classify/44216/0","http://www.fishbase.org/summary/Apristurus-laurussonii.html","Island-Tiefwasserkatzenhai, Atlantic ghost catshark, Atlantic ghost cat shark, Cat shark, Flathead cat shark, Iceland cat shark, Iceland catshark, Icelandic catshark, Madeira catshark, Medeira shark, flathead catshark, Pejegato de Madera, Pejegato islandico, Islanninkissahai, Apristurus laurussonii, Holbiche atlantique, Roussette d'Islande, Atlantische spookkathaai, Ijslandse kathaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus longicephalus","Longhead catshark","Carcharhiniformes","Scyliorhinidae","bathydemersal","LC",49.65,"Very low",60,NA,"http://www.iucnredlist.org/details/classify/44217/0","http://www.fishbase.org/summary/Apristurus-longicephalus.html","Longhead cat shark, Smooth-belly catshark, Smoothbelly catshark, longhead catshark, Tengu-herazame, Langkopkathaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus macrorhynchus","Flathead catshark","Carcharhiniformes","Scyliorhinidae","bathydemersal","DD",52.15,"Very low",NA,NA,"http://www.iucnredlist.org/details/classify/44218/0","http://www.fishbase.org/summary/Apristurus-macrorhynchus.html","Flathead cat shark, flathead catshark, Pejegato chato, Holbiche torazame, Naga-herazame, Platkopkathaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus macrostomus","Broadmouth cat shark","Carcharhiniformes","Scyliorhinidae","bathydemersal","DD",38.64,"Very low",NA,NA,"http://www.iucnredlist.org/details/classify/44219/0","http://www.fishbase.org/summary/Apristurus-macrostomus.html","Broadmouth cat shark, Broadmouth catshark, Breedbekkathaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus manis","Ghost catshark","Carcharhiniformes","Scyliorhinidae","bathydemersal","LC",57.5,"Very low",85,NA,"http://www.iucnredlist.org/details/classify/44599/0","http://www.fishbase.org/summary/Apristurus-manis.html","Geister-Tiefwasserkatzenhai, Ghost cat shark, ghost catshark, Pejegato fantasma, Spookkathaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus melanoasper","Black roughscale catshark","Carcharhiniformes","Scyliorhinidae","bathypelagic","DD",54.85,"Very low",76.1,NA,"http://www.iucnredlist.org/details/classify/42700/0","http://www.fishbase.org/summary/Apristurus-melanoasper.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus microps","Smalleye catshark","Carcharhiniformes","Scyliorhinidae","bathydemersal","LC",49.69,"Very low",61,NA,"http://www.iucnredlist.org/details/classify/44657/0","http://www.fishbase.org/summary/Apristurus-microps.html","Kleinaugen-Tiefwasserkatzenhai, Smalleye cat shark, smalleye catshark, Pejegato puerco, Holbiche porc, Kleinoogkathaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus micropterygeus","Smalldorsal cat shark","Carcharhiniformes","Scyliorhinidae","bathydemersal","DD",34.19,"Very low",37.2,NA,"http://www.iucnredlist.org/details/classify/44220/0","http://www.fishbase.org/summary/Apristurus-micropterygeus.html","Smalldorsal cat shark, Smalldorsal catshark, Smalrugkathaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus nasutus","Largenose catshark","Carcharhiniformes","Scyliorhinidae","bathydemersal","DD",53.16,"Very low",70,NA,"http://www.iucnredlist.org/details/classify/44573/0","http://www.fishbase.org/summary/Apristurus-nasutus.html","Grossnasenkatzenhai, Largenose cat shark, largenose catshark, Holbiche cyrano, Grootsnuitkathaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus parvipinnis","Smallfin catshark","Carcharhiniformes","Scyliorhinidae","bathydemersal","DD",47.21,"Very low",48,NA,"http://www.iucnredlist.org/details/classify/44221/0","http://www.fishbase.org/summary/Apristurus-parvipinnis.html","Smallfin cat shark, smallfin catshark, Pejegato mocho, Holbiche petites ailes, Karibu-herazame, Kleinvinkathaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus pinguis",NA,"Carcharhiniformes","Scyliorhinidae","bathypelagic","LC",48.23,"Very low",55.8,NA,"http://www.iucnredlist.org/details/classify/44222/0","http://www.fishbase.org/summary/Apristurus-pinguis.html","Fat catshark, Bulldog catshark, Vette kathaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus platyrhynchus","Borneo catshark","Carcharhiniformes","Scyliorhinidae","bathypelagic","LC",56.26,"Very low",80,NA,"http://www.iucnredlist.org/details/classify/44223/0","http://www.fishbase.org/summary/Apristurus-platyrhynchus.html","Flatnose cat shark, Bigfin catshark, Borneo cat shark, Flatnose catshark, Spatula catshark, Spatulasnout cat shark, borneo catshark, spatulasnout catshark, Pejegato espatulado, Pejegato de Borneo, Holbiche spatule, Holbiche malaise, Holbiche spatula, Herazame, Vlaksnuitkathaai, Borneokathaai, Spatelsnuitkathaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus profundorum","Deep-water catshark","Carcharhiniformes","Scyliorhinidae","bathydemersal","DD",48.17,"Very low",54.2,NA,"http://www.iucnredlist.org/details/classify/44224/0","http://www.fishbase.org/summary/Apristurus-profundorum.html","Deepwater cat shark, Deep-water catshark, deepsea cat shark, deepwater catshark, Pejegato abisal, Holbiche papoila, Rosette de profondeur, Aki-herazame, Diepwaterkathaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
