"PolygonID","MRGID","GeoName","Pol_type","MRGID_Ter1","Territory1","MRGID_Sov1","Sovereign1","ISO_Ter1","MRGID_Ter2","Territory2","MRGID_Sov2","Sovereign2","ISO_Ter2","MRGID_Ter3","Territory3","MRGID_Sov3","Sovereign3","ISO_Ter3","x_1","y_1","Area_km2","MRGID_EEZ","Nospecies"
"144","8346","Sri Lankan Exclusive Economic Zone","200NM","2195","Sri Lanka","2195","Sri Lanka","LKA","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,81.6360736851,6.5463774611,533545.991412,"8346",0
"145","8355","Sudanese Exclusive Economic Zone","200NM","2183","Sudan","2183","Sudan","SDN","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,38.1436708014,19.7479237752,62825.9412341,"8355",0
"146","8373","Syrian Exclusive Economic Zone","200NM","3384","Syria","3384","Syria","SYR","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,35.4962435481,35.328707793,10270.2553582,"8373",0
"147","8392","Togolese Exclusive Economic Zone","200NM","8632","Togo","8632","Togo","TGO","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,1.82134961928,4.6394919934,15439.2618032,"8392",0
"148","5679","Greek Exclusive Economic Zone","200NM","2099","Greece","2099","Greece","GRC","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,23.9324458505,36.5071422798,482874.187763,"5679",0
"149","5697","Turkish Exclusive Economic Zone","200NM","2213","Turkey","2213","Turkey","TUR","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,33.2205977618,40.5222437012,262134.62716,"5697",0
"150","21790","Monégasque Exclusive Economic Zone","200NM","2222","Monaco","2222","Monaco","MCO","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,7.58768028014,43.3480154122,287.610932884,"21790",0
"151","8366","Tunisian Exclusive Economic Zone","200NM","2214","Tunisia","2214","Tunisia","TUN","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,11.0531894413,36.0013257587,99763.7373247,"8366",0
"152","5691","Montenegrin Exclusive economic Zone","200NM","17831","Montenegro","17831","Montenegro","MNE","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,18.6801469453,41.8702342631,6382.36937715,"5691",0
"153","5670","Albanian Exclusive Economic Zone","200NM","2153","Albania","2153","Albania","ALB","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,19.1130007712,40.927083965,12165.6105921,"5670",0
"154","5672","Bulgarian Exclusive Economic Zone","200NM","2174","Bulgaria","2174","Bulgaria","BGR","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,29.1928536582,42.9317912348,34752.8122073,"5672",0
"155","48953","Disputed area: Palestinian Exclusive Economic Zone","Disputed","15525","Palestine","15525","Palestine","PSE","2123","Israel","2123","Israel","ISR","0",NA,"0",NA,NA,34.0598447939,31.6695523619,2329.73147998,"48953",0
"156","8357","Kuwaiti Exclusive Economic Zone","200NM","2115","Kuwait","2115","Kuwait","KWT","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,48.6290824971,29.1845911752,11182.5360034,"8357",0
"157","8470","Iraqi Exclusive Economic Zone","200NM","2125","Iraq","2125","Iraq","IRQ","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,48.5848904072,29.7695160791,1187.50111346,"8470",0
"158","8358","Bahraini Exclusive Economic Zone","200NM","2154","Bahrain","2154","Bahrain","BHR","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,50.705336466,26.3353961148,7515.05531597,"8358",0
"159","8468","Qatari Exclusive Economic Zone","200NM","2242","Qatar","2242","Qatar","QAT","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,51.867444042,25.8805051284,30648.8431247,"8468",0
"160","8353","Yemeni Exclusive Economic Zone","200NM","2199","Yemen","2199","Yemen","YEM","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,52.0616096242,12.8890558088,527382.733788,"8353",0
"161","8375","Israeli Exclusive Economic Zone","200NM","2123","Israel","2123","Israel","ISR","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,34.0976418872,32.6113556487,23511.4177216,"8375",0
"162","8491","Jordanian Exclusive Economic Zone","200NM","2120","Jordan","2120","Jordan","JOR","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,34.9468344737,29.4351678075,97.0835220622,"8491",0
"163","8352","Djiboutian Exclusive Economic Zone","200NM","2131","Djibouti","2131","Djibouti","DJI","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,43.432962888,11.9971041774,7223.43334664,"8352",0
"164","8481","Bangladeshi Exclusive Economic Zone","200NM","2142","Bangladesh","2142","Bangladesh","BGD","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,90.5397686404,20.4111789845,112302.620749,"8481",0
"166","8474","Nigerian Exclusive Economic Zone","200NM","2253","Nigeria","2253","Nigeria","NGA","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,4.82278332072,4.08512461991,179050.962041,"8474",0
"167","8475","Cameroonian Exclusive Economic Zone","200NM","2170","Cameroon","2170","Cameroon","CMR","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,9.31100269891,3.46271367413,15140.979128,"8475",0
"168","8397","Sao Tome and Principe Exclusive Economic Zone","200NM","2238","Sao Tome and Principe","2238","Sao Tome and Principe","STP","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,6.35334522867,0.779096486722,130840.024661,"8397",0
"169","21797","Joint regime area Nigeria / Sao Tome and Principe","Joint regime","2238","Sao Tome and Principe","2238","Sao Tome and Principe","STP","2253","Nigeria","2253","Nigeria","NGA","0",NA,"0",NA,NA,5.58698920142,2.06760424839,34536.3549382,"21797",0
"170","48976","Joint regime area Italy / France","Joint regime","17","France","17","France","FRA","2133","Italy","2133","Italy","ITA","0",NA,"0",NA,NA,9.048856776,41.3071528226,67.0413063769,"48976",0
"171","22491","Bosnian and Herzegovinian Exclusive Economic Zone","200NM","2136","Bosnia and Herzegovina","2136","Bosnia and Herzegovina","BIH","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,17.5925605485,42.9165596313,12.9796793791,"22491",0
"172","48957","Guam Exclusive Economic Zone","200NM","8599","Guam","2204","United States","GUM","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,144.002607874,12.9295751986,208211.490668,"48957",0
"173","48955","Disputed area Liancourt Rocks: Japan / South Korea","Disputed","2121","Japan","2121","Japan","JPN","8600","South Korea","8600","South Korea","KOR","0",NA,"0",NA,NA,132.684728739,38.1349541466,60573.9623814,"48955",0
"174","8318","Marshall Islands Exclusive Economic Zone","200NM","2226","Marshall Islands","2226","Marshall Islands","MHL","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,167.487347243,10.1520394692,2001385.96498,"8318",0
"175","8316","Micronesian Exclusive Economic Zone","200NM","8595","Micronesia","8595","Micronesia","FSM","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,150.322031428,6.76930482445,3010627.5342,"8316",0
"176","8327","South Korean Exclusive Economic Zone","200NM","8600","South Korea","8600","South Korea","KOR","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,126.961471211,35.4196462554,310220.953983,"8327",0
"177","48980","Northern Mariana Exclusive Economic Zone","200NM","8598","Northern Mariana Islands","2204","United States","MNP","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,145.73933219,18.2865983172,763555.008407,"48980",0
