"binomial","OBJECTID","Shape_Leng","Shape_Area","area","order_name","family_nam","code"
"Rhinoraja odai","883",22.9231340897,9.25297315851,94295.6,"RAJIFORMES","ARHYNCHOBATIDAE","LC"
"Rhinoraja taranetzi","884",243.197800224,93.6411457454,713856,"RAJIFORMES","ARHYNCHOBATIDAE","LC"
"Rhizoprionodon acutus","885",3605.71145945,1278.38111214,15203200,"CARCHARHINIFORMES","CARCHARHINIDAE","LC"
"Rhizoprionodon lalandii","886",392.933589884,126.122118545,1517870,"CARCHARHINIFORMES","CARCHARHINIDAE","DD"
"Rhizoprionodon longurio","887",327.498313866,106.530856495,1238360,"CARCHARHINIFORMES","CARCHARHINIDAE","DD"
"Rhizoprionodon oligolinx","888",1440.40438459,464.199274979,5572950,"CARCHARHINIFORMES","CARCHARHINIDAE","LC"
"Rhizoprionodon porosus","889",822.230102526,291.786382131,3403510,"CARCHARHINIFORMES","CARCHARHINIDAE","LC"
"Rhizoprionodon taylori","890",415.936883244,145.518801118,1718650,"CARCHARHINIFORMES","CARCHARHINIDAE","LC"
"Rhizoprionodon terraenovae","891",529.842032339,186.216957201,1935620,"CARCHARHINIFORMES","CARCHARHINIDAE","LC"
"Rhynchobatus australiae","892",695.334869241,88.5179652573,1067220,"RAJIFORMES","RHYNCHOBATIDAE","VU"
"Rhynchobatus djiddensis","893",331.385318448,50.8432527016,592049,"RAJIFORMES","RHYNCHOBATIDAE","VU"
"Rhynchobatus laevis","894",434.704326081,41.3873134214,473301,"RAJIFORMES","RHYNCHOBATIDAE","VU"
"Rhynchobatus luebberti","895",158.508083998,10.9016707564,132471,"RAJIFORMES","RHYNCHOBATIDAE","EN"
"Rhynchobatus sp. nov. A","896",22.3311115639,1.54701124521,18993.6,"RAJIFORMES","RHYNCHOBATIDAE","VU"
"Rhynchobatus springeri","897",489.7140633,122.122756265,1482210,"RAJIFORMES","RHYNCHOBATIDAE","VU"
"Rioraja agassizii","898",97.1769779022,20.7872600011,210725,"RAJIFORMES","ARHYNCHOBATIDAE","VU"
"Rostroraja alba","899",937.046430782,317.020079659,3271710,"RAJIFORMES","RAJIDAE","EN"
"Schroederichthys bivius","900",761.669434077,174.078487741,1499420,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Schroederichthys chilensis","901",96.0723781394,26.5565055524,289191,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Schroederichthys maculatus","902",48.7315038845,22.1989518143,264992,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Schroederichthys saurisqualus","903",37.8906337312,24.8537315646,272136,"CARCHARHINIFORMES","SCYLIORHINIDAE","VU"
"Schroederichthys tenuis","904",97.685724173,42.645238665,523515,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Scoliodon laticaudus","905",1534.70495625,497.850310956,5875950,"CARCHARHINIFORMES","CARCHARHINIDAE","NT"
"Scyliorhinus besnardi","906",41.7566213239,17.5556745433,180199,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Scyliorhinus boa","907",273.062988932,135.735407547,1613970,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Scyliorhinus canicula","908",1493.3932773,432.384820861,3860390,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Scyliorhinus capensis","909",84.6851866184,57.9818374726,612943,"CARCHARHINIFORMES","SCYLIORHINIDAE","NT"
"Scyliorhinus cervigoni","910",199.236551791,92.9130444377,1129110,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Scyliorhinus comoroensis","911",11.2848605892,4.42956252125,53372.4,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Scyliorhinus garmani","912",273.907908708,73.3324542678,882632,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Scyliorhinus haeckelii","913",333.049220358,185.730957211,2180060,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Scyliorhinus hesperius","914",70.1509872651,34.6399158823,415849,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Scyliorhinus meadi","915",202.097724986,82.3540261295,924215,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Scyliorhinus retifer","916",411.865820616,141.850902218,1532530,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Scyliorhinus stellaris","917",1649.05695646,470.780914232,4292200,"CARCHARHINIFORMES","SCYLIORHINIDAE","NT"
"Scyliorhinus tokubee","918",9.44816460051,2.04627074346,20862.4,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Scyliorhinus torazame","919",698.93472403,211.987901877,2267050,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Scyliorhinus torrei","920",162.655351951,50.374666334,566617,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Scylliogaleus quecketti","921",24.421225115,9.3615109119,98904.5,"CARCHARHINIFORMES","TRIAKIDAE","VU"
"Scymnodalatias albicauda","922",15.4660963073,5.38377105349,44574.9,"SQUALIFORMES","SOMNIOSIDAE","DD"
"Scymnodalatias garricki","923",10.1406695875,4.204595107,40529.4,"SQUALIFORMES","SOMNIOSIDAE","DD"
"Scymnodalatias oligodon","924",11.2112125105,6.8253307101,76271.9,"SQUALIFORMES","SOMNIOSIDAE","DD"
"Scymnodalatias sherwoodi","925",20.791172625,13.7837992066,122841,"SQUALIFORMES","SOMNIOSIDAE","DD"
"Scymnodon ringens","926",712.901683692,267.787466288,2376300,"SQUALIFORMES","SOMNIOSIDAE","DD"
"Sinobatis borneensis","927",108.193016826,50.1481852957,584082,"RAJIFORMES","ANACANTHOBATIDAE","LC"
"Sinobatis bulbicauda","928",59.1676470618,27.139570635,318250,"RAJIFORMES","ANACANTHOBATIDAE","LC"
"Sinobatis caerulea","929",13.734708836,5.90270678202,66618.3,"RAJIFORMES","ANACANTHOBATIDAE","DD"
"Sinobatis filicauda","930",9.22739379719,3.36047792625,39006,"RAJIFORMES","ANACANTHOBATIDAE","DD"
"Sinobatis melanosoma","931",227.318137131,69.448970035,818253,"RAJIFORMES","ANACANTHOBATIDAE","LC"
"Somniosus antarcticus","932",306.075007041,160.067846028,1362140,"SQUALIFORMES","SOMNIOSIDAE","DD"
