"binomial","OBJECTID","Shape_Leng","Shape_Area","area","order_name","family_nam","code"
"Urolophus neocaledoniensis","1058",35.848294708,7.11050470072,82235.6,"RAJIFORMES","UROLOPHIDAE","LC"
"Urolophus orarius","1059",39.5797248227,3.78299681901,38376,"RAJIFORMES","UROLOPHIDAE","EN"
"Urolophus papilio","1060",14.3580006049,3.55523950137,41329.4,"RAJIFORMES","UROLOPHIDAE","LC"
"Urolophus paucimaculatus","1061",245.679616335,44.1325437646,436807,"RAJIFORMES","UROLOPHIDAE","LC"
"Urolophus piperatus","1062",14.7716062812,2.7383710987,31888.4,"RAJIFORMES","UROLOPHIDAE","LC"
"Urolophus sufflavus","1063",23.6623708283,3.41528103023,35580.8,"RAJIFORMES","UROLOPHIDAE","VU"
"Urolophus viridis","1064",145.372038708,40.7786247691,394258,"RAJIFORMES","UROLOPHIDAE","VU"
"Urolophus westraliensis","1065",18.6759383623,4.22164479298,49279.1,"RAJIFORMES","UROLOPHIDAE","LC"
"Urotrygon aspidura","1066",175.452300848,16.0064888995,192317,"RAJIFORMES","UROTRYGONIDAE","DD"
"Urotrygon chilensis","1067",275.464710568,40.8516260345,481602,"RAJIFORMES","UROTRYGONIDAE","DD"
"Urotrygon microphthalmum","1068",178.753938506,48.4139158607,594038,"RAJIFORMES","UROTRYGONIDAE","LC"
"Urotrygon munda","1069",177.240966016,14.205874442,172125,"RAJIFORMES","UROTRYGONIDAE","DD"
"Urotrygon nana","1070",110.113395898,9.87013672301,117581,"RAJIFORMES","UROTRYGONIDAE","DD"
"Urotrygon reticulata","1071",12.242697756,0.722253704502,8796.8,"RAJIFORMES","UROTRYGONIDAE","VU"
"Urotrygon rogersi","1072",251.66086613,21.4243535201,249895,"RAJIFORMES","UROTRYGONIDAE","DD"
"Urotrygon simulatrix","1073",11.9065804345,0.610894036285,7440.37,"RAJIFORMES","UROTRYGONIDAE","VU"
"Urotrygon venezuelae","1074",13.7237285104,2.57678268037,31079.9,"RAJIFORMES","UROTRYGONIDAE","NT"
"Zameus ichiharai","1075",9.04529566916,2.42888870179,24849.5,"SQUALIFORMES","SOMNIOSIDAE","DD"
"Zameus squamulosus","1076",1513.86751552,842.298586089,8767380,"SQUALIFORMES","SOMNIOSIDAE","DD"
"Zanobatus schoenleinii","1077",250.236537307,88.0618621639,1054680,"RAJIFORMES","ZANOBATIDAE","DD"
"Zapteryx brevirostris","1078",46.2857492966,14.6710760517,154681,"RAJIFORMES","RHINOBATIDAE","VU"
"Zapteryx exasperata","1079",115.921208382,39.0976082326,419932,"RAJIFORMES","RHINOBATIDAE","DD"
"Zapteryx xyster","1080",196.993234616,14.7088276557,177200,"RAJIFORMES","RHINOBATIDAE","DD"
"Zearaja chilensis","1081",155.209404689,92.4168455212,801548,"RAJIFORMES","RAJIDAE","VU"
"Zearaja maugeana","1082",2.7621648412,0.0388131795418,354.414,"RAJIFORMES","RAJIDAE","EN"
"Zearaja nasutus","1083",181.608856572,65.4238207918,598629,"RAJIFORMES","RAJIDAE","LC"
