"GeoName","Territory1","Sovereign1","ISO_Ter1","Area_km2","EconomicVulnerability","DependMarineResource","Education","Tourism","Corruption","ChallengeIndex","OpportunityIndex","CLI","Nospecies","CR","EN","VU","Threatened","rest"
"Saint Vincent and the Grenadines Exclusive Economic Zone","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","VCT",36243.1925939,37.82473373,0.548064914502395,0.657,23.3792,-58,-0.55885,0.98824,0.3,50,4,1,11,16,34
"Samoan Exclusive Economic Zone","Samoa","Samoa","WSM",130473.54685,43.84165955,3.93742579350335,0.702,NA,NA,NA,NA,0.51,21,0,0,10,10,11
"Sao Tome and Principe Exclusive Economic Zone","Sao Tome and Principe","Sao Tome and Principe","STP",130840.024661,37.39100266,8.30160153569572,0.509,24.337,-46,1.03167,1.36545,NA,63,2,3,16,21,42
"Joint regime area Nigeria / Sao Tome and Principe","Sao Tome and Principe","Sao Tome and Principe","STP",34536.3549382,37.39100266,8.30160153569572,0.509,24.337,-46,1.03167,1.36545,NA,62,2,3,16,21,41
"Saudi Arabian Exclusive Economic Zone","Saudi Arabia","Saudi Arabia","SAU",224137.855448,14.1120224,0.0510311124357864,0.768,9.39293,-49,-1.3738,-0.32847,0.58,66,1,4,25,30,36
"Joint regime area Senegal / Guinea Bissau","Senegal","Senegal","SEN",63504.9930222,32.1016922,11.8095756632842,0.355,10.3825,-45,1.85008,0.87933,-1.69,84,4,6,18,28,56
"Senegalese Exclusive Economic Zone","Senegal","Senegal","SEN",158604.115529,32.1016922,11.8095756632842,0.355,10.3825,-45,1.85008,0.87933,-1.69,105,5,8,23,36,69
"Seychellois Exclusive Economic Zone","Seychelles","Seychelles","SYC",1341497.0288,43.7763443,1.3697364227474,0.706,65.3113,-60,-0.66259,2.91632,0.35,49,1,1,18,20,29
"Sierra Leonian Exclusive Economic Zone","Sierra Leone","Sierra Leone","SLE",160578.277588,49.69194794,8.10374712052957,0.374,4.13651,-30,2.20385,0.30649,-2.09,82,4,7,16,27,55
"Singaporean Exclusive Economic Zone","Singapore","Singapore","SGP",721.555202966,29.20640945,0.00122602149915727,0.814,10.1808,-84,-1.87637,1.12077,3.5,90,2,8,37,47,43
"Slovenian Exclusive Economic Zone","Slovenia","Slovenia","SVN",149.46070435,NA,0.00307251026789075,0.886,11.8998,-61,NA,NA,1.91,0,0,0,0,0,0
"Solomon Islands Exclusive Economic Zone","Solomon Islands","Solomon Islands","SLB",1605255.91456,48.89176178,14.2160911454458,0.445,10.3649,-39,2.42141,1.54109,-1.42,37,0,1,15,16,21
"South African Exclusive Economic Zone","South Africa","South Africa","ZAF",1072718.43265,23.02053452,0.154619833105028,0.705,8.93298,-43,-0.78386,-0.34237,-0.26,168,4,5,35,44,124
"South Korean Exclusive Economic Zone","South Korea","South Korea","KOR",310220.953983,NA,0.199363117268685,0.867,4.66451,-54,NA,NA,NA,90,0,4,22,26,64
"Joint regime area Japan / Korea","South Korea","South Korea","KOR",82702.3311195,NA,0.199363117268685,0.867,4.66451,-54,NA,NA,NA,103,0,3,21,24,79
"Spanish Exclusive Economic Zone","Spain","Spain","ESP",561681.917973,NA,0.17052421076052,0.818,14.8611,-57,NA,NA,2.02,96,3,9,22,34,62
"Sri Lankan Exclusive Economic Zone","Sri Lanka","Sri Lanka","LKA",533545.991412,24.16213989,0.606544385890307,0.752,11.6253,-38,-0.75374,-0.23977,-0.13,97,3,7,30,40,57
"Sudanese Exclusive Economic Zone","Sudan","Sudan","SDN",62825.9412341,50.59128189,0.0105913159237881,0.318,NA,-16,NA,NA,-2.68,52,1,4,22,27,25
"Disputed area: Sudan / Egypt","Sudan","Sudan","SDN",19733.5118706,50.59128189,0.0105913159237881,0.318,NA,-16,NA,NA,-2.68,53,1,4,22,27,26
"Surinamese Exclusive Economic Zone","Suriname","Suriname","SUR",133316.418383,64.56445313,1.70228434907301,0.63,2.68754,-41,0.83667,0.55276,-0.04,74,3,2,13,18,56
"Swedish Exclusive Economic Zone","Sweden","Sweden","SWE",155951.836705,NA,0.0369548240933229,0.855,9.548,-84,NA,NA,2.85,21,1,1,7,9,12
"Syrian Exclusive Economic Zone","Syria","Syria","SYR",10270.2553582,28.22521973,NA,0.417,13.8006,-14,NA,NA,NA,44,1,5,14,20,24
"Disputed area Senkaku Islands: Japan / China / Taiwan","Taiwan","Taiwan","TWN",73777.0441761,NA,NA,NA,4.25977,-63,NA,NA,NA,118,1,2,26,29,89
"Taiwanese Exclusive Economic Zone","Taiwan","Taiwan","TWN",355471.949988,NA,NA,NA,4.25977,-63,NA,NA,NA,182,2,6,37,45,137
"Tanzanian Exclusive Economic Zone","Tanzania","Tanzania","TZA",241452.798387,27.97339249,0.654145524842674,0.441,9.0381,-36,0.40864,-0.67372,-2.07,74,2,2,23,27,47
"Thailand Exclusive Economic Zone","Thailand","Thailand","THA",298685.971043,23.57723236,2.04483455508424,0.641,21.1871,-37,-0.26659,0.09512,-0.01,105,3,9,38,50,55
"Togolese Exclusive Economic Zone","Togo","Togo","TGO",15439.2618032,33.94543839,0.57355434282055,0.489,8.66901,-32,0.49714,-0.58862,-2.07,80,4,7,18,29,51
"Tongan Exclusive Economic Zone","Tonga","Tonga","TON",666078.527932,55.90511322,2.04330520940762,0.766,18.2009,NA,NA,NA,0.26,20,0,0,9,9,11
"Trinidad and Tobago Exclusive Economic Zone","Trinidad and Tobago","Trinidad and Tobago","TTO",76575.0360158,31.70833206,0.138364247400443,0.717,7.7285,-41,-0.53755,-0.19806,0.85,67,4,2,12,18,49
"Tunisian Exclusive Economic Zone","Tunisia","Tunisia","TUN",99763.7373247,18.08312035,0.428338385854652,0.643,14.1954,-42,-0.68643,-0.351,-0.35,68,3,9,19,31,37
"Turkish Exclusive Economic Zone","Turkey","Turkey","TUR",262134.62716,11.36954498,0.116688012992841,0.668,11.611,-40,-0.93247,-0.68433,0.11,47,1,6,14,21,26
"Turkmen Exclusive Economic Zone","Turkmenistan","Turkmenistan","TKM",61222.8609384,44.90037537,NA,0.629,7.27797,-19,NA,NA,-0.99,0,0,0,0,0,0
"Tuvaluan Exclusive Economic Zone","Tuvalu","Tuvalu","TUV",753126.434715,56.14907455,30.2324696439207,NA,5.73114,NA,NA,NA,NA,27,0,1,12,13,14
"Disputed area Ukrainian Exclusive Economic Zone","Ukraine","Ukraine","UKR",136252.734661,NA,0.134540771940299,0.803,10.5225,-30,NA,NA,-0.26,3,0,0,1,1,2
"United Arab Emirates Exclusive Economic Zone","United Arab Emirates","United Arab Emirates","ARE",52580.3217567,29.21211243,0.0969658573584333,0.687,7.74342,-71,-1.16517,0.52359,2.63,58,1,4,21,26,32
"Disputed area: Iran / United Arab Emirates","United Arab Emirates","United Arab Emirates","ARE",6173.22489162,29.21211243,0.0969658573584333,0.687,7.74342,-71,-1.16517,0.52359,2.63,40,1,3,17,21,19
"Joint regime area United Kingdom / Denmark (Faeroe Islands)","United Kingdom","United Kingdom","GBR",7935.63728108,NA,0.0506289018844467,0.896,10.6376,-82,NA,NA,2.31,28,1,1,7,9,19
"United Kingdom Exclusive Economic Zone","United Kingdom","United Kingdom","GBR",732922.625801,NA,0.0506289018844467,0.896,10.6376,-82,NA,NA,2.31,73,1,3,13,17,56
"Joint regime area United States / Russia","United States","United States","USA",8462.82034165,NA,NA,0.9,2.79683,-75,NA,NA,4.34,12,0,0,1,1,11
"United States Exclusive Economic Zone","United States","United States","USA",2451978.73855,NA,NA,0.9,2.79683,-75,NA,NA,4.34,195,3,5,21,29,166
"Joint regime area Argentina / Uruguay","Uruguay","Uruguay","URY",41412.483948,30.79628372,NA,0.717,46.0522,-70,NA,NA,1.54,81,4,7,22,33,48
"Uruguayan Exclusive Economic Zone","Uruguay","Uruguay","URY",143090.710488,30.79628372,NA,0.717,46.0522,-70,NA,NA,1.54,97,4,8,24,36,61
"Vanuatu Exclusive Economic Zone","Vanuatu","Vanuatu","VUT",623417.068474,46.8181839,2.76824654390162,0.526,9.35473,-43,0.7364,0.37562,-0.63,45,0,2,13,15,30
"Disputed area: Venezuela / Aruba / Dominican Republic","Venezuela","Venezuela","VEN",1114.61161769,23.13475418,0.0646579874996141,0.71,NA,-18,NA,NA,NA,0,0,0,0,0,0
"Venezuelan Exclusive Economic Zone","Venezuela","Venezuela","VEN",472616.003707,23.13475418,0.0646579874996141,0.71,NA,-18,NA,NA,NA,97,4,2,15,21,76
"Vietnamese Exclusive Economic Zone","Vietnam","Vietnam","VNM",750997.838971,30.7618103,2.00675608395561,0.617,NA,-35,NA,NA,-1.42,121,3,8,35,46,75
"Yemeni Exclusive Economic Zone","Yemen","Yemen","YEM",527382.733788,34.50417328,2.01135176670895,0.35,5.18678,-16,1.48149,-1.15761,NA,82,2,4,25,31,51
