"GeoName","Territory1","Sovereign1","ISO_Ter1","Area_km2","EconomicVulnerability","DependMarineResource","Education","Tourism","Corruption","ChallengeIndex","OpportunityIndex","CLI","Nospecies","CR","EN","VU","Threatened","rest"
"Democratic Republic of the Congo Exclusive Economic Zone","Democratic Republic of the Congo","Democratic Republic of the Congo","COD",13360.665776,28.82803726,0.655701627660256,0.475,1.75775,-21,0.6768,-1.29328,NA,61,3,4,15,22,39
"Danish Exclusive Economic Zone","Denmark","Denmark","DNK",104884.788693,NA,0.372718630194541,0.923,7.68075,-88,NA,NA,2.99,27,1,0,7,8,19
"Djiboutian Exclusive Economic Zone","Djibouti","Djibouti","DJI",7223.43334664,38.47145081,0.46415545722589,0.31,NA,-31,NA,NA,-1.35,54,1,3,21,25,29
"Dominican Exclusive Economic Zone","Dominica","Dominica","DMA",28589.5552507,38.87469482,5.56595896212088,0.618,37.6496,-57,0.12658,2.03443,0.88,45,3,1,9,13,32
"Dominican Republic Exclusive Economic Zone","Dominican Republic","Dominican Republic","DOM",350697.677696,21.67969513,0.151401206125027,0.622,17.1798,-29,-0.28081,-0.56134,-0.34,53,2,2,11,15,38
"Joint regime area Colombia / Dominican Republic","Dominican Republic","Dominican Republic","DOM",13110.2397339,21.67969513,0.151401206125027,0.622,17.1798,-29,-0.28081,-0.56134,-0.34,13,0,0,8,8,5
"East Timorian Exclusive Economic Zone","East Timor","East Timor","TLS",72174.8295001,54.89023972,1.16056491370374,0.494,NA,-38,NA,NA,NA,84,3,4,28,35,49
"Joint regime area Ecuador / Colombia","Ecuador","Ecuador","ECU",18639.6879249,27.63736343,0.595016437107047,0.665,5.41578,-32,-0.2262,-0.6543,-0.77,0,0,0,0,0,0
"Ecuadorian Exclusive Economic Zone","Ecuador","Ecuador","ECU",236289.144622,27.63736343,0.595016437107047,0.665,5.41578,-32,-0.2262,-0.6543,-0.77,75,1,3,12,16,59
"Egyptian Exclusive Economic Zone","Egypt","Egypt","EGY",243230.486587,17.07066727,0.123641716165433,0.601,10.9867,-32,-0.38474,-0.86097,NA,96,2,9,33,44,52
"El Salvador Exclusive Economic Zone","El Salvador","El Salvador","SLV",95098.9801233,28.66797447,0.0602455958233584,0.584,10.1128,-33,-0.0374,-0.58599,0.12,60,1,2,10,13,47
"Equatorial Guinean Exclusive Economic Zone","Equatorial Guinea","Equatorial Guinea","GNQ",304131.929643,43.4885788,0.249396098737129,0.439,NA,-17,NA,NA,-1.86,91,4,7,21,32,59
"Disputed area Doumeira Islands: Djibouti / Eritrea","Eritrea","Eritrea","ERI",244.983278024,58.02013397,NA,0.267,NA,-20,NA,NA,-2.63,0,0,0,0,0,0
"Eritrean Exclusive Economic Zone","Eritrea","Eritrea","ERI",78108.5928819,58.02013397,NA,0.267,NA,-20,NA,NA,-2.63,55,2,4,22,28,27
"Estonian Exclusive Economic Zone","Estonia","Estonia","EST",36442.3364254,NA,0.092452790962848,0.877,15.3653,-71,NA,NA,2.41,2,0,0,2,2,0
"Fijian Exclusive Economic Zone","Fiji","Fiji","FJI",1283243.50985,39.08708572,3.3508981026288,0.777,40.2825,NA,NA,NA,0.14,25,0,0,11,11,14
"Finnish Exclusive Economic Zone","Finland","Finland","FIN",81003.6348989,NA,0.034841801387076,0.847,8.34745,-85,NA,NA,3.06,2,0,0,2,2,0
"Joint regime area Spain / France","France","France","FRA",2859.50870608,NA,0.0532073697472569,0.839,8.94069,-70,NA,NA,2.51,26,0,0,8,8,18
"Joint regime area Italy / France","France","France","FRA",67.0413063769,NA,0.0532073697472569,0.839,8.94069,-70,NA,NA,2.51,0,0,0,0,0,0
"French Exclusive Economic Zone","France","France","FRA",344795.437503,NA,0.0532073697472569,0.839,8.94069,-70,NA,NA,2.51,97,3,8,21,32,65
"French Polynesian Exclusive Economic Zone","French Polynesia","France","PYF",4766884.32996,NA,NA,NA,1,NA,NA,NA,NA,32,0,2,13,15,17
"Gabonese Exclusive Economic Zone","Gabon","Gabon","GAB",201753.746636,28.69852066,0.823016593684943,0.618,2.9011,-32,-0.0118,-0.75374,-0.8,89,4,8,19,31,58
"Gambian Exclusive Economic Zone","Gambia","Gambia","GMB",22956.7941229,70.48950195,8.80117612595945,0.358,20.0995,-30,2.84371,1.51161,NA,91,5,7,19,31,60
"Georgian Exclusive Economic Zone","Georgia","Georgia","GEO",22951.8826179,31.25251389,0.189235421568328,0.794,31.0112,-56,-1.2053,1.17327,0.9,2,0,0,1,1,1
"German Exclusive Economic Zone","Germany","Germany","DEU",56597.6543338,NA,0.00786060535726202,0.914,10.6522,-81,NA,NA,3.63,25,1,0,6,7,18
"Ghanaian Exclusive Economic Zone","Ghana","Ghana","GHA",227218.059083,36.55239868,0.853933175846654,0.551,6.24579,-40,0.23606,-0.27978,-1.15,87,4,7,19,30,57
"Greek Exclusive Economic Zone","Greece","Greece","GRC",482874.187763,NA,0.264530178058241,0.83,19.7117,-48,NA,NA,1.38,60,2,8,17,27,33
"Grenadian Exclusive Economic Zone","Grenada","Grenada","GRD",25576.6292954,43.96567535,0.669152454441317,0.725,23.3499,-52,-0.46547,1.08258,0.72,66,4,2,11,17,49
"Guam Exclusive Economic Zone","Guam","United States","GUM",208211.490668,NA,0.00391128719787043,NA,NA,NA,NA,NA,NA,22,0,0,10,10,12
"Guatemalan Exclusive Economic Zone","Guatemala","Guatemala","GTM",110643.131743,24.03350639,0.0930921954077226,0.508,8.02935,-28,0.19978,-1.01625,-1.23,63,1,2,10,13,50
"Guinean Exclusive Economic Zone","Guinea","Guinea","GIN",102165.349909,25.60624123,1.99859082621619,0.33,5.32035,-27,1.06159,-1.11082,-2.55,89,4,7,19,30,59
"Guinea Bissau Exclusive Economic Zone","Guinea-Bissau","Guinea-Bissau","GNB",106745.931659,53.98011398,6.00473298171954,0.353,NA,-17,NA,NA,-2.59,91,5,7,21,33,58
"Guyanese Exclusive Economic Zone","Guyana","Guyana","GUY",135053.148853,49.81836319,2.26195603897876,0.568,6.99461,-38,0.74372,0.22432,-0.25,70,3,2,13,18,52
"Disputed area: Trinidad and Tobago / Venezuela / Guyana","Guyana","Guyana","GUY",3590.78552744,49.81836319,2.26195603897876,0.568,6.99461,-38,0.74372,0.22432,-0.25,24,0,1,9,10,14
"Disputed area Navassa Island: USA / Haiti / Jamaica","Haiti","Haiti","HTI",13890.8022545,33.26596069,0.527852579104348,0.425,9.74861,-22,0.89287,-0.92719,-2.05,42,2,2,9,13,29
"Haitian Exclusive Economic Zone","Haiti","Haiti","HTI",103497.883331,33.26596069,0.527852579104348,0.425,9.74861,-22,0.89287,-0.92719,-2.05,55,2,2,11,15,40
"Joint regime area Honduras / Cayman Islands","Honduras","Honduras","HND",2075.80842569,29.74034119,0.282869192650027,0.518,15.0077,-29,0.29735,-0.54344,-1.04,19,0,1,9,10,9
"Honduran Exclusive Economic Zone","Honduras","Honduras","HND",208534.450393,29.74034119,0.282869192650027,0.518,15.0077,-29,0.29735,-0.54344,-1.04,61,2,2,10,14,47
"Icelandic Exclusive Economic Zone","Iceland","Iceland","ISL",763172.764242,NA,10.9374207276339,0.906,34.6436,-77,NA,NA,2.43,36,1,1,7,9,27
"Joint regime area Iceland / Norway (Jan Mayen)","Iceland","Iceland","ISL",45504.5354559,NA,10.9374207276339,0.906,34.6436,-77,NA,NA,2.43,3,0,0,1,1,2
"Indian Exclusive Economic Zone","India","India","IND",1659486.57465,21.37855148,0.217673374781482,0.535,9.38129,-40,-0.21079,-0.65639,-4.34,122,4,8,34,46,76
"Indonesian Exclusive Economic Zone","Indonesia","Indonesia","IDN",6025109.71458,23.5663414,0.992254950098506,0.622,5.79467,-37,-0.26565,-0.61993,-3.24,194,4,12,52,68,126
"Iranian Exclusive Economic Zone","Iran","Iran","IRN",215347.604482,20.40710831,0.199000685800141,0.704,7.31208,-30,-0.55838,-0.82709,NA,68,3,4,22,29,39
"Iraqi Exclusive Economic Zone","Iraq","Iraq","IRQ",1187.50111346,43.61099243,0.00628793561429266,0.5,8.43451,-18,0.96857,-0.77688,-2.31,0,0,0,0,0,0
"Irish Exclusive Economic Zone","Ireland","Ireland","IRL",426997.656893,NA,0.16749571587063,0.91,5.87762,-74,NA,NA,2.94,71,1,3,13,17,54
"Israeli Exclusive Economic Zone","Israel","Israel","ISR",23511.4177216,19.15465736,0.00210528977481221,0.87,5.97648,-62,-1.83861,0.15911,1,53,1,5,17,23,30
"Italian Exclusive Economic Zone","Italy","Italy","ITA",536727.544683,NA,0.0638434699151317,0.814,13.0193,-50,NA,NA,0.69,70,4,9,19,32,38
"Ivory Coast Exclusive Economic Zone","Ivory Coast","Ivory Coast","CIV",172015.188351,18.64129448,0.248527535132482,0.415,NA,-36,NA,NA,NA,86,4,7,19,30,56
"Jamaican Exclusive Economic Zone","Jamaica","Jamaica","JAM",257049.4206,31.25927925,0.353126941391844,0.678,32.8804,-44,-0.56064,0.7846,0.39,47,3,2,9,14,33
"Joint regime area Colombia / Jamaica","Jamaica","Jamaica","JAM",15251.3689556,31.25927925,0.353126941391844,0.678,32.8804,-44,-0.56064,0.7846,0.39,34,0,1,9,10,24
"Disputed area Liancourt Rocks: Japan / South Korea","Japan","Japan","JPN",60573.9623814,NA,0.172221928320485,0.842,6.82387,-73,NA,NA,2.09,37,0,0,10,10,27
"Japanese Exclusive Economic Zone","Japan","Japan","JPN",4043057.35049,NA,0.172221928320485,0.842,6.82387,-73,NA,NA,2.09,212,0,5,37,42,170
"Disputed area Kuril Islands: Japan / Russia","Japan","Japan","JPN",213385.537199,NA,0.172221928320485,0.842,6.82387,-73,NA,NA,2.09,35,0,0,6,6,29
"Jordanian Exclusive Economic Zone","Jordan","Jordan","JOR",97.0835220622,19.2584343,0.00257059107564988,0.701,18.6541,-48,-1.03603,0.03622,-0.37,0,0,0,0,0,0
"Kazakh Exclusive Economic Zone","Kazakhstan","Kazakhstan","KAZ",114381.001862,27.18056679,NA,0.805,6.02192,-31,NA,NA,0.04,0,0,0,0,0,0
"Kenyan Exclusive Economic Zone","Kenya","Kenya","KEN",113818.646103,29.10097313,0.0852513671238536,0.518,9.66244,-28,0.30034,-0.80844,-1.8,62,2,2,20,24,38
"Disputed area: Kenya / Somalia","Kenya","Kenya","KEN",50229.5785767,29.10097313,0.0852513671238536,0.518,9.66244,-28,0.30034,-0.80844,-1.8,52,0,2,20,22,30
"Kuwaiti Exclusive Economic Zone","Kuwait","Kuwait","KWT",11182.5360034,24.70368958,0.0125179718193388,0.611,5.97537,-39,-0.35315,-0.65138,-0.16,43,2,3,17,22,21
"Latvian Exclusive Economic Zone","Latvia","Latvia","LVA",28355.9762185,NA,0.266210508573949,0.835,9.15652,-58,NA,NA,2.16,2,0,0,2,2,0
"Lebanese Exclusive Economic Zone","Lebanon","Lebanon","LBN",20185.6097866,16.39228439,0.0245245860168539,0.656,18.4296,-28,-0.53264,-0.65495,-0.6,49,1,5,15,21,28
"Liberian Exclusive Economic Zone","Liberia","Liberia","LBR",251776.275286,57.24667358,1.91246839306623,0.423,5.11903,-31,1.53339,-0.062,-2.19,85,4,7,17,28,57
"Libyan Exclusive Economic Zone","Libya","Libya","LBY",364446.950274,29.64081573,NA,0.616,NA,-17,NA,NA,-1.1,64,3,8,17,28,36
