"ScientificName","CommonName","order_name","family_nam","code","id_no","web_redlist","assessment_redlist","web_fishbase"
"Carcharhinus signatus","Nathaj, Nachthai, Night shark, Shark, Tiburon de noche, Tiburon nocturno, Carcharhinus signatus, Requiem de nuit, Requin de nuit, Nachthaai","CARCHARHINIFORMES","CARCHARHINIDAE","VU",60219,"http://www.iucnredlist.org/details/classify/60219/0","http://www.iucnredlist.org/pdflink.60219","http://www.fishbase.org/summary/Carcharhinus-signatus.html"
"Carcharhinus sorrah","Kolsterhaai, Jarjur, Plethalet haj, Sorrah shark, Black-tip shark, Blacktip shark, Grey shark, School shark, Sorrah, Spot-tail whaler, Spottail shark, West Australian whaler shark, spot-tail shark, Kooseh-e-baleh-syah, Requin blanc, Requin tachete, Houraizame, Hourai zame, Lanyam, Cucut lanjaman, Shirat, Meso, Fesoke, Maintepate, Maintipaty, Balda, Pisori, Yu kepak hitam, Kam chong, Sip suar, Vlekstaarthaai, Marracho rabo manchado, Kanatyan, Katta-sorrah, Sorrah, Chalarm Jud-dum, Pating","CARCHARHINIFORMES","CARCHARHINIDAE","NT",161376,"http://www.iucnredlist.org/details/classify/161376/0","http://www.iucnredlist.org/pdflink.161376","http://www.fishbase.org/summary/Carcharhinus-sorrah.html"
"Carcharhinus tilstoni","Australsk sorttippet haj, Australian blacktip shark, Blacktip shark, Blacktip whaler, Tilston's whaler shark, Whitley's blacktip shark, Australische zwartpunthaai","CARCHARHINIFORMES","CARCHARHINIDAE","LC",41739,"http://www.iucnredlist.org/details/classify/41739/0","http://www.iucnredlist.org/pdflink.41739","http://www.fishbase.org/summary/Carcharhinus-tilstoni.html"
"Carcharias taurus","Spikkel-skeurtandhaai, Kalb, Lkars, Salroig de sorra, Almindelig sandtigerhaj, Sandtigerhaj, Indischer Sandtigerhai, Grauer Sandhai, Sandhai, Sandtiger, Sandtigerhai, Schnauzenhai, Carcharias, Tavrocarcharias, Tavrokarcharias, sand tiger shark, Blue nurse sand tiger, Blue nurse shark, Blue-nurse sand tiger, Brown shark, Dogfish shark, Gray nurse shark, Grey Nurse Shark, Grey nurse, Grey shark, Greynurse shark, Ground shark, Nuss shark, Ragged tooth shark, Raggedtooth shark, Sand shark, Sand-tiger, Sandtiger shark, Shovel-nosed shark, Shovelnose shark, Slender-tooth shark, Spotted ragged tooth shark, Spotted ragged-tooth, Spotted ragged-tooth shark, Spotted raggedtooth, Spotted raggedtooth shark, Spotted sand tiger shark, raggie, sand tiger, tiger shark, yellow belly, yellow shark, Carcharias taurus, Bacota, Pez toro, Pintado, Sandtiger shark, Sarda, Tigre arenero, Torito, Toro bacota, Hietahai, Sarda, Requin, Chien de mer, Odontaspide taureau, Requin des sables, Requin sable, Requin taureau, Requin-taureau, Verdoun, lamio, requin sable tachete, Karish khol pari, Dundanee, Toro bambaco, Psina zmijozuba, Carcharias taurus, Pisci cani, Pisci tauru, Squalo toro, carcharia tauro, odontaspe tauro, triglochide tauro, Shirowani, umiwani, Khonodecha, Waghir, Kelb il-bahar, Tawru, Zandtijgerhaai, Tawrosz, tawrosz piaskowy, Carcharias taurus, Dentudo, Magonga, Mangona, Mangonga, Pintado, Peshkagen i eger, Peshkaqen i eger, Morski pas, Oxhaj, Sandhaj, Kum kaplani, Pamuk baligi, Ca nham nhon, ca nham nhan, Meccetu, Buki getj, Sathieu","LAMNIFORMES","ODONTASPIDIDAE","VU",3854,"http://www.iucnredlist.org/details/classify/3854/0","http://www.iucnredlist.org/pdflink.3854","http://www.fishbase.org/summary/Carcharias-taurus.html"
"Carcharodon carcharias","Witdoodshaai, Kalb, Kalb bahr, Wahsh, Hvid Haj, Menneskehaj, Stor hvid haj, Store hvide haj, Menschenhai, Sbrillias, Smprilios, great white shark, Man eater, Man-eater, Man-eater shark, Maneater, Maneater shark, Mango-taniwha, Mango-ururoa, Shark, White death, White pointer, White shark, Marrajo, Africano, Devorador de hombres, Jaqueton blanco, Valkohai, Requin, Carcharodonte, Grand requin blanc, Grand-requin blanc, Mangeur d'hommes, Requin blanc, Requin mangeur d'homme, Karish lava, Niuhi, Carcharodon carcharias, Canesca, Canusu, Damiano, Mangia alici, Manzo de mar, Pesce hane, Pescecane, Pesci can, Pesse can, Pisci bistinu, Pisci cani, Squalo bianco, Tunnu palamitu di funnu, Hohojirozame, Masiake, Akiofotsy, Farao, Huta tax-Xmara, Kelb Abjad, Kelb il - bahar Abjad, Kelb il-bahar, Silfjun, Mensen haai, Mensenhaai, Witte haai, Wittehaai, Hvithai, Zarlacz ludojad, Alequim, Anequim, Anequin, Iperu, Rechin mancator de oameni, Rechin alb, Geldevaja akula, Peshkagen njeringrenes, Peshkaqen njeringrenes, Pas modrulj, bela ajkula, velika bela ajkula, Stor vit haj, Vithaj, Pating, Karkarias, Canavar baligi, Harharias baligi, Karkarias baligi, Ndiagadar","LAMNIFORMES","LAMNIDAE","VU",3855,"http://www.iucnredlist.org/details/classify/3855/0","http://www.iucnredlist.org/pdflink.3855","http://www.fishbase.org/summary/Carcharodon-carcharias.html"
"Centrophorus atromarginatus","Blackfin gulper shark, Dwarf gulper shark, Hiu botol, Dwergzwelghaai","SQUALIFORMES","CENTROPHORIDAE","DD",161384,"http://www.iucnredlist.org/details/classify/161384/0","http://www.iucnredlist.org/pdflink.161384","http://www.fishbase.org/summary/Centrophorus-atromarginatus.html"
"Centrophorus harrissoni","Dogfish endeavor, Dumb shark, Endeavour dogfish, Harrison's deepsea dogfish, Harrison's dogfish, Harrisons deepsea dogfish, Harrisons dogfish, Harrisson's deepsea dogfish, Harrisson's dogfish, Harrisson's gulper shark, Longnose gulper shark, dumb gulper shark, Quelvacho galludo, Petit squale-chagrin, Langsnuitzwelghaai","SQUALIFORMES","CENTROPHORIDAE","EN",41740,"http://www.iucnredlist.org/details/classify/41740/0","http://www.iucnredlist.org/pdflink.41740","http://www.fishbase.org/summary/Centrophorus-harrissoni.html"
"Centrophorus isodon","Blackfin gulper shark, Black gulper shark, Longnose gulper shark, Hiu botol, Zwartvinzwelghaai","SQUALIFORMES","CENTROPHORIDAE","DD",44563,"http://www.iucnredlist.org/details/classify/44563/0","http://www.iucnredlist.org/pdflink.44563","http://www.fishbase.org/summary/Centrophorus-isodon.html"
"Centrophorus lusitanicus","Lusitanischer Schlingerhai, lowfin gulper shark, Remudo, Barrosa, Chapenta, Chaputa, Quelme, Sysipistinhai, Squale-chagrin longue dorsale, Portugese zwelghaai, Lixa-de-lei, Barroso, Gata-lixa, Lixa, Quelme","SQUALIFORMES","CENTROPHORIDAE","VU",161442,"http://www.iucnredlist.org/details/classify/161442/0","http://www.iucnredlist.org/pdflink.161442","http://www.fishbase.org/summary/Centrophorus-lusitanicus.html"
"Centrophorus moluccensis","Southern dogfish, Arrowspine dogfish, Dogshark, Endeavour dogfish, Smallfin gulpershark, smallfin gulper shark, Quelvacho de aleta corta, Squale-chagrin cagaou, Okinawa yajiri zame, Okinawa-yajirizame, Hiu botol danten, Yu minyak, Yu duri, Kleinvinzwelghaai, Lixa barbatana curta","SQUALIFORMES","CENTROPHORIDAE","DD",42838,"http://www.iucnredlist.org/details/classify/42838/0","http://www.iucnredlist.org/pdflink.42838","http://www.fishbase.org/summary/Centrophorus-moluccensis.html"
"Centrophorus seychellorum","","SQUALIFORMES","CENTROPHORIDAE","DD",161417,"http://www.iucnredlist.org/details/classify/161417/0","http://www.iucnredlist.org/pdflink.161417","http://www.fishbase.org/summary/Centrophorus-seychellorum.html"
"Centrophorus squamosus","Brun pighaj, Brauner Dornhai, Blattschuppen-Schlingerhai, Blattschuppiger Schlingerhai, Deepwater spiny dogfish, Deepsea spiny dogfish, Leaf-scale gulper shark, Leafscale gulper sha, Leafscraper shark, Nilson's deepsea dogfish, Nilsons deepsea dogfish, leafscale gulper shark, Quelvacho, Quelvacho negro, Remudo, Suomupistinhai, Squale-chagrin de l'Atlantique, Sagri, Momijizame, Hiu botol, Schubzwelghaai, Kolen czerwony, Lixa, Lixa de escama, Lixa escamosa, Xara branca, Brun pigghaj","SQUALIFORMES","CENTROPHORIDAE","VU",41871,"http://www.iucnredlist.org/details/classify/41871/0","http://www.iucnredlist.org/pdflink.41871","http://www.fishbase.org/summary/Centrophorus-squamosus.html"
"Centrophorus tessellatus","Mosaic gulper shark, Mosaic dogfish, Quelvacho mosaico, Genrokuzame","SQUALIFORMES","CENTROPHORIDAE","DD",60208,"http://www.iucnredlist.org/details/classify/60208/0","http://www.iucnredlist.org/pdflink.60208","http://www.fishbase.org/summary/Centrophorus-tessellatus.html"
"Centrophorus westraliensis","","SQUALIFORMES","CENTROPHORIDAE","DD",195485,"http://www.iucnredlist.org/details/classify/195485/0","http://www.iucnredlist.org/pdflink.195485","http://www.fishbase.org/summary/Centrophorus-westraliensis.html"
"Centroscyllium excelsum","Highfin dogfish, Hoogvinlantaarnhaai","SQUALIFORMES","ETMOPTERIDAE","DD",161740,"http://www.iucnredlist.org/details/classify/161740/0","http://www.iucnredlist.org/pdflink.161740","http://www.fishbase.org/summary/Centroscyllium-excelsum.html"
"Centroscyllium fabricii","Fabricius sorthaj, Fabricius' sorthaj, Fabricius-Dornhai, black dogfish, Tollo negro merga, Tollo egro merga, Tollo negro, Tummavalohai, aiguillat noir, Zwarte lantaarnhaai, Svart pigghaj","SQUALIFORMES","ETMOPTERIDAE","LC",161521,"http://www.iucnredlist.org/details/classify/161521/0","http://www.iucnredlist.org/pdflink.161521","http://www.fishbase.org/summary/Centroscyllium-fabricii.html"
"Centroscyllium granulatum","Granular dogfish, Tollo negro raspa, Tollo fume, Tollo negro luminoso, Nystyvalohai, Gekorrelde lantaarnhaai","SQUALIFORMES","ETMOPTERIDAE","DD",44567,"http://www.iucnredlist.org/details/classify/44567/0","http://www.iucnredlist.org/pdflink.44567","http://www.fishbase.org/summary/Centroscyllium-granulatum.html"
"Centroscyllium kamoharai","bareskin dogfish, Jelly shark, Tollo negro liso, Aiguillat lisse, Hadaka-kasumizame, Naakte lantaarnhaai","SQUALIFORMES","ETMOPTERIDAE","DD",41746,"http://www.iucnredlist.org/details/classify/41746/0","http://www.iucnredlist.org/pdflink.41746","http://www.fishbase.org/summary/Centroscyllium-kamoharai.html"
"Centroscyllium nigrum","Kamtandet sorthaj, Granular dogfish, Black shark, Pacific black dogfish, combtooth dogfish, Tollo fume, Tollo negro, Tollo negro peine, Loche, Aiguillat peigne, Krultandlantaarnhaai","SQUALIFORMES","ETMOPTERIDAE","DD",44514,"http://www.iucnredlist.org/details/classify/44514/0","http://www.iucnredlist.org/pdflink.44514","http://www.fishbase.org/summary/Centroscyllium-nigrum.html"
"Centroscyllium ornatum","ornate dogfish, Tollo negro elegante, Koruvalohai, Sierlijke lantaarnhaai","SQUALIFORMES","ETMOPTERIDAE","DD",161578,"http://www.iucnredlist.org/details/classify/161578/0","http://www.iucnredlist.org/pdflink.161578","http://www.fishbase.org/summary/Centroscyllium-ornatum.html"
"Centroscyllium ritteri","Hvidfinnet sorthaj, whitefin dogfish, Tollo negro aliblanco, Kasumizame, Witvinlantaarnhaai","SQUALIFORMES","ETMOPTERIDAE","DD",161508,"http://www.iucnredlist.org/details/classify/161508/0","http://www.iucnredlist.org/pdflink.161508","http://www.fishbase.org/summary/Centroscyllium-ritteri.html"
"Centroscymnus coelolepis","Kalb, Portugiesenhai, Portugieserhai, Kentroskymnos, Portuguese dogfish, Portugese dogfish, Portuguese shark, Pailona, Palluda, Rasqueta, Ruskosusihai, Pailona commun, Centroscimno, Marubara-yumezame, Portugese ijshaai, Pailona, Xara preta, Pailonahaj","SQUALIFORMES","SOMNIOSIDAE","NT",41747,"http://www.iucnredlist.org/details/classify/41747/0","http://www.iucnredlist.org/pdflink.41747","http://www.fishbase.org/summary/Centroscymnus-coelolepis.html"
"Centroscymnus owstonii","Kurznasen-Samthai, Schwarzer Kurznasenhai, Roughskin dogfish, Black shark, Deepwater dogfish, Owston's dogfish, Owstons dogfish, Owstons spiny dogfish, Smallspine dogfish, Smallspine shark, Smooth skin dogfish, Smoothskin dogfish, shortnose velvet dogfish, Sapata lija, Pailona rapeux, Yumezame, Ruwe ijshaai, Xara-preta-de-natura","SQUALIFORMES","SOMNIOSIDAE","LC",41749,"http://www.iucnredlist.org/details/classify/41749/0","http://www.iucnredlist.org/pdflink.41749","http://www.fishbase.org/summary/Centroscymnus-owstonii.html"
"Centroselachus crepidater","","SQUALIFORMES","SOMNIOSIDAE","LC",46864,"http://www.iucnredlist.org/details/classify/46864/0","http://www.iucnredlist.org/pdflink.46864","http://www.fishbase.org/summary/Centroselachus-crepidater.html"
"Cephaloscyllium albipinnum","","CARCHARHINIFORMES","SCYLIORHINIDAE","NT",42706,"http://www.iucnredlist.org/details/classify/42706/0","http://www.iucnredlist.org/pdflink.42706","http://www.fishbase.org/summary/Cephaloscyllium-albipinnum.html"
"Cephaloscyllium cooki","","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",174145,"http://www.iucnredlist.org/details/classify/174145/0","http://www.iucnredlist.org/pdflink.174145","http://www.fishbase.org/summary/Cephaloscyllium-cooki.html"
"Cephaloscyllium fasciatum","Reticulate swell shark, Leopard-spotted swellshark, Reticulated swell shark, Spotted swellshark, reticulated swellshark, Pejegato mallero, Verkkopallohai, Holbiche bouffie, Netzwelhaai, Pating","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",200014,"http://www.iucnredlist.org/details/classify/200014/0","http://www.iucnredlist.org/pdflink.200014","http://www.fishbase.org/summary/Cephaloscyllium-fasciatum.html"
"Cephaloscyllium hiscosellum","","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",195422,"http://www.iucnredlist.org/details/classify/195422/0","http://www.iucnredlist.org/pdflink.195422","http://www.fishbase.org/summary/Cephaloscyllium-hiscosellum.html"
"Cephaloscyllium isabellum","Draughtsboard shark, Carpet shark, Draughtboard shark, draughtsbroad shark, Pejegato ajedrezado, Ruutupallohai, Holbiche damier, Pekapeka, Dambordzwelhaai, Pating","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",41752,"http://www.iucnredlist.org/details/classify/41752/0","http://www.iucnredlist.org/pdflink.41752","http://www.fishbase.org/summary/Cephaloscyllium-isabellum.html"
"Cephaloscyllium laticeps","Australsk ballonhaj, whitefinned swellshark, Australian swell shark, Australian swellshark, Draughtboard shark, Flopguts, Isabell's swell shark, Nutcracker shark, Rock shark, Sleepy joe, Spotted swellshark, Swell shark, Pejegato bordeado, Pejegato australiano, Australianpallohai, Holbiche isabelle, Holbiche gressouillette, Australische zwelhaai","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",41753,"http://www.iucnredlist.org/details/classify/41753/0","http://www.iucnredlist.org/pdflink.41753","http://www.fishbase.org/summary/Cephaloscyllium-laticeps.html"
"Cephaloscyllium maculatum","Spotted swellshark","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",195423,"http://www.iucnredlist.org/details/classify/195423/0","http://www.iucnredlist.org/pdflink.195423","http://www.fishbase.org/summary/Cephaloscyllium-maculatum.html"
"Cephaloscyllium pardelotum","Leopard-spotted swellshark","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",195424,"http://www.iucnredlist.org/details/classify/195424/0","http://www.iucnredlist.org/pdflink.195424","http://www.fishbase.org/summary/Cephaloscyllium-pardelotum.html"
"Cephaloscyllium sarawakensis","","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",161380,"http://www.iucnredlist.org/details/classify/161380/0","http://www.iucnredlist.org/pdflink.161380","http://www.fishbase.org/summary/Cephaloscyllium-sarawakensis.html"
"Cephaloscyllium signourum","","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",181361,"http://www.iucnredlist.org/details/classify/181361/0","http://www.iucnredlist.org/pdflink.181361","http://www.fishbase.org/summary/Cephaloscyllium-signourum.html"
"Cephaloscyllium silasi","Indisk ballonhaj, Indian swellshark, Indian swell shark, Pejegato de Silas, Holbiche indienne, Indiase zwelhaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",161591,"http://www.iucnredlist.org/details/classify/161591/0","http://www.iucnredlist.org/pdflink.161591","http://www.fishbase.org/summary/Cephaloscyllium-silasi.html"
"Cephaloscyllium speccum","","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",42710,"http://www.iucnredlist.org/details/classify/42710/0","http://www.iucnredlist.org/pdflink.42710","http://www.fishbase.org/summary/Cephaloscyllium-speccum.html"
"Cephaloscyllium sufflans","Blaasophaai, Swell shark, Indian swellshark, balloon shark, Pallohai, Holbiche soufflue, Ballonzwelhaai, Pata-roxa ensuflada","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",44606,"http://www.iucnredlist.org/details/classify/44606/0","http://www.iucnredlist.org/pdflink.44606","http://www.fishbase.org/summary/Cephaloscyllium-sufflans.html"
"Cephaloscyllium umbratile","Draughtsboard shark, Blotchy swell shark, Japanese swell shark, Japanese swellshark, Swell shark, Laikkupallohai, Nanukazame, Pok-sang-o, Japanse zwelhaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",161724,"http://www.iucnredlist.org/details/classify/161724/0","http://www.iucnredlist.org/pdflink.161724","http://www.fishbase.org/summary/Cephaloscyllium-umbratile.html"
"Cephaloscyllium variegatum","","CARCHARHINIFORMES","SCYLIORHINIDAE","NT",42707,"http://www.iucnredlist.org/details/classify/42707/0","http://www.iucnredlist.org/pdflink.42707","http://www.fishbase.org/summary/Cephaloscyllium-variegatum.html"
"Cephaloscyllium ventriosum","Californisk ballonhaj, Schwellhai, Swellshark, Swell shark, Gato hinchado, Pejegato hinchado, pejegato globo, Holbiche ventrue, Zwelhaai","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",60227,"http://www.iucnredlist.org/details/classify/60227/0","http://www.iucnredlist.org/pdflink.60227","http://www.fishbase.org/summary/Cephaloscyllium-ventriosum.html"
"Cephaloscyllium zebrum","","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",42709,"http://www.iucnredlist.org/details/classify/42709/0","http://www.iucnredlist.org/pdflink.42709","http://www.fishbase.org/summary/Cephaloscyllium-zebrum.html"
"Cephalurus cephalus","Slikkepindshaj, Lollipop cat shark, lollipop catshark, Gato renacuajo, Pejegato renacuajo, Cephalurus cephalus, Holbiche tetard, Lollykathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",161455,"http://www.iucnredlist.org/details/classify/161455/0","http://www.iucnredlist.org/pdflink.161455","http://www.fishbase.org/summary/Cephalurus-cephalus.html"
"Cetorhinus maximus","Koesterhaai, Kalb, pirc'hirin, Cagnaccia, heulgi, Brugde, Mandelhai, Reuzenhai, Riesenhai, Saparnasm Skylopsaro, Sapounas, basking shark, Basking tresher, Bone shark, Elephant shark, Hoe-mother, Shark, Sun-fish, Sunfish, Cetorhinus maximus, Colayo, Marrajo ballenato, Marrajo gigante, Peje vaca, Peregrino, Pez elefante, Brugda, Flaneur, Pelerin, Religieuse, Requin, Karish anak, Psina gorostasna, Psina golema, Suncani pas, Squalo elefante, Cagna, Canisca, Elefante, Imbestino, Mmistinu, Pesce elefante, Pesce pappagallo, Pisci sceccu, Squalo gigante, Squalo pellegrino, Squalo rostrato, can, Ubazame, Reremai, Gobdoll, Gabdoll, Pixxitonnu, reuzehaai, Reuzenhaai, Brugde, Dlugoszpar a. rekin gigantyczny, Dlugoszpar, Rekin gigantyczny, Rekin olbrzymi, Albafar, Frade, Peixe frade, Peixe-carago, Peixe-frade, Peregrino, Relengueiro, Peshkagen shtegtar, Peshkaqen shtegtar, peshkaqeni gjigant, Pzina golema, Brugd","LAMNIFORMES","CETORHINIDAE","VU",4292,"http://www.iucnredlist.org/details/classify/4292/0","http://www.iucnredlist.org/pdflink.4292","http://www.fishbase.org/summary/Cetorhinus-maximus.html"
"Chaenogaleus macrostoma","Krogtandet haj, Balfour's shark, hooktooth shark, Comadreja ganchuda, Kooseh-e-ghollab-dandan, Milandre harpon, Milandre harpoon, Hiu kacang, Hiu pilus, Chichundri, Yu, Yu gigi cangkuk, Haaktandwezelhaai, Pal-sorrah, Chalarm Noo","CARCHARHINIFORMES","HEMIGALEIDAE","VU",161695,"http://www.iucnredlist.org/details/classify/161695/0","http://www.iucnredlist.org/pdflink.161695","http://www.fishbase.org/summary/Chaenogaleus-macrostoma.html"
"Chiloscyllium arabicum","Haysan, Lahay, Arabisk bambushaj, Arabian carpetshark, Arabian bamboo shark, Arabian carpet shark, Confusing bamboo shark, Gorbeh-kooseh-e-arabi, Ruskobambuhai, Chiloscyllium arabicum, requin-chabot camot, Hiu bongo hitam, Cucut dolok hitam, Arabische bamboehaai","ORECTOLOBIFORMES","HEMISCYLLIIDAE","NT",161426,"http://www.iucnredlist.org/details/classify/161426/0","http://www.iucnredlist.org/pdflink.161426","http://www.fishbase.org/summary/Chiloscyllium-arabicum.html"
"Chiloscyllium burmensis","Burmesisk bambushaj, Burmese bamboo shark, Burmese bambooshark, bamboa birmana, Chiloscyllium burmensis, Chabot birman, requin-chabot birman, Birmabamboehaai","ORECTOLOBIFORMES","HEMISCYLLIIDAE","DD",161616,"http://www.iucnredlist.org/details/classify/161616/0","http://www.iucnredlist.org/pdflink.161616","http://www.fishbase.org/summary/Chiloscyllium-burmensis.html"
"Chiloscyllium griseum","Haysan, Jarjur hiasa, Blackband catshark, Banded dogfish, Black banded cat shark, Blackbanded shark, Carpet shark, Gray bamboo shark, Grey catshark, Ridge-back bambooshark, grey bambooshark, Bamboa gris, Harmaabambuhai, Pikkupartahai, Chiloscyllium plagiosum, Requin-chabot gris, Shimazame, Hiahia, Ettee, Karungan sravu, Korangan sravu, Baravla, Yu-cicak gempal, Kau suar, Yu bodoh, Yu pasir, Yu tokeh, Grijze bamboehaai, Brunbandad Bambuhaj, Corungum sorrah, Kurangu-sorrah, Pating","ORECTOLOBIFORMES","HEMISCYLLIIDAE","NT",41792,"http://www.iucnredlist.org/details/classify/41792/0","http://www.iucnredlist.org/pdflink.41792","http://www.fishbase.org/summary/Chiloscyllium-griseum.html"
"Chiloscyllium hasselti","Hasselts bambushaj, Hasselt's bambooshark, Catshark, Indonesian bamboo shark, Indonesian bambooshark, bamboa indonesa, Bamboa de Hasselt, Requin-chabot de Hasselt, Yu bodoh, Kau suar, Yu cicak, Yu pasir, Yu tokeh, Yu-cicak lampai, Indonesische bamboehaai, Chalarm Gob","ORECTOLOBIFORMES","HEMISCYLLIIDAE","NT",161557,"http://www.iucnredlist.org/details/classify/161557/0","http://www.iucnredlist.org/pdflink.161557","http://www.fishbase.org/summary/Chiloscyllium-hasselti.html"
"Chiloscyllium indicum","Haysan, Lahay, Slank bambushaj, Nurse shark, Catshark, Dogshark, Frog shark, Indian cat shark, Indian catshark, Ridge back shark, Ridge-back bambooshark, Ridge-back cat shark, Ridge-back cat-shark, Ridgeback catshark, Ridgebacked bamboo shark, Slender bamooshark, Stone shark, Time teller shark, lip shark, slender bamboo shark, slender bambooshark, bamboa elegante, Sirobambuhai, Intianpartahai, Chiloscyllium indicum, Musia, Tenjiku zamae, Tenjikuzame, Cucut dolok, Hiu bongol, Chlarm sangha, Ettee, Mushi, Balavala, Yu pasir, Cucut tekeh, Kau suar, Yu belak, Yu bodoh, Yu cicak, Yu pokah,, Yu rimau, Yu tekek, Yu tembaga, Yu tokeh, Yu-cicak tembaga, nga man ing-myong, Slanke bamboehaai, Kana mora, Corungum sorrah, Coruhgun-sorrah, karikkan schura, sorungun sorrah, Bokee sorrah, Ra sorrah, Chalarm Gob, chalarm gope, chalarm hin, Pating, ca cha beo, ca cheo beo, ca nham, kau kang sha","ORECTOLOBIFORMES","HEMISCYLLIIDAE","NT",41791,"http://www.iucnredlist.org/details/classify/41791/0","http://www.iucnredlist.org/pdflink.41791","http://www.fishbase.org/summary/Chiloscyllium-indicum.html"
"Chiloscyllium plagiosum","Hvidplettet bambushaj, whitespotted bamboo shark, Cat shark, Catshark, White-spotted bamboo shark, White-spotted bambooshark, White-spotted catshark, Whitespotted catshark, bluespotted bamboo shark, whitespotted bambooshark, whitespotted cat shark, bamboa punteada, Bamboa estrellada, Raitapartahai, Requin-chabot taches blanches, Shiroboshi-tenjiku, Shiroboshitenjiku zame, Hiu bongo, Cucut dolok, Yu bodoh, Kau suar, Yu-cicak bintik putih, Witgestippelde bamboehaai, Chalarm Gob, chalarm hin, chalarm lye, chalarm seour, Pating, pan chu sha, ta sha","ORECTOLOBIFORMES","HEMISCYLLIIDAE","NT",60222,"http://www.iucnredlist.org/details/classify/60222/0","http://www.iucnredlist.org/pdflink.60222","http://www.fishbase.org/summary/Chiloscyllium-plagiosum.html"
"Chiloscyllium punctatum","Brownbanded bamboo shark, Brown spotted cat shark, Brown-banded bamboo shark, Brown-banded bambooshark, Brown-banded catshark, Brown-spotted bambooshark, Brown-spotted catshark, Brownbanded catshark, Grey carpet shark, Grey carpetshark, Spotted catshark, brownbanded bambooshark, brownspotted catshark, Bamboa estriada, Gorbeh-kooseh-e-lakkedar, Pistebambuhai, Pistepartahai, Chiloscyllium punctatum, Requin-chabot bambou, Inu zame, Inuzame, Cucut dolok, Chkuot, Chlarm, Yu-cicak insang putih, Hiu bodoh, Kau suar, Mungsing hiu, Yu bodoh, Yu cicak, Yu punai, Yu tokeh, Yu toleh, Bruinband bamboehaai, Bruinegebande bamboehaai, Chalarm Gob, Pating","ORECTOLOBIFORMES","HEMISCYLLIIDAE","NT",41872,"http://www.iucnredlist.org/details/classify/41872/0","http://www.iucnredlist.org/pdflink.41872","http://www.fishbase.org/summary/Chiloscyllium-punctatum.html"
"Chimaera argiloba","","CHIMAERIFORMES","CHIMAERIDAE","LC",195427,"http://www.iucnredlist.org/details/classify/195427/0","http://www.iucnredlist.org/pdflink.195427","http://www.fishbase.org/summary/Chimaera-argiloba.html"
"Chimaera bahamaensis","","CHIMAERIFORMES","CHIMAERIDAE","DD",195428,"http://www.iucnredlist.org/details/classify/195428/0","http://www.iucnredlist.org/pdflink.195428","http://www.fishbase.org/summary/Chimaera-bahamaensis.html"
"Chimaera cubana","Chimaera, Conejo de lo alto, Cuban chimaera, Cuban ratfish, Elephantfish, Quimera, Mariposa, Quimera cubano, Kubansk havsmus","CHIMAERIFORMES","CHIMAERIDAE","DD",60183,"http://www.iucnredlist.org/details/classify/60183/0","http://www.iucnredlist.org/pdflink.60183","http://www.fishbase.org/summary/Chimaera-cubana.html"
"Chimaera fulva","","CHIMAERIFORMES","CHIMAERIDAE","LC",195429,"http://www.iucnredlist.org/details/classify/195429/0","http://www.iucnredlist.org/pdflink.195429","http://www.fishbase.org/summary/Chimaera-fulva.html"
"Chimaera jordani","Jordans chimaera, Jordan-ginzame","CHIMAERIFORMES","CHIMAERIDAE","DD",60184,"http://www.iucnredlist.org/details/classify/60184/0","http://www.iucnredlist.org/pdflink.60184","http://www.fishbase.org/summary/Chimaera-jordani.html"
"Chimaera lignaria","","CHIMAERIFORMES","CHIMAERIDAE","LC",60185,"http://www.iucnredlist.org/details/classify/60185/0","http://www.iucnredlist.org/pdflink.60185","http://www.fishbase.org/summary/Chimaera-lignaria.html"
"Chimaera macrospina","","CHIMAERIFORMES","CHIMAERIDAE","LC",195430,"http://www.iucnredlist.org/details/classify/195430/0","http://www.iucnredlist.org/pdflink.195430","http://www.fishbase.org/summary/Chimaera-macrospina.html"
