"ScientificName","CommonName","order_name","family_nam","code","id_no","web_redlist","assessment_redlist","web_fishbase"
"Amblyraja doellojuradoi","","RAJIFORMES","RAJIDAE","LC",63122,"http://www.iucnredlist.org/details/classify/63122/0","http://www.iucnredlist.org/pdflink.63122","http://www.fishbase.org/summary/Amblyraja-doellojuradoi.html"
"Amblyraja frerichsi","","RAJIFORMES","RAJIDAE","DD",44652,"http://www.iucnredlist.org/details/classify/44652/0","http://www.iucnredlist.org/pdflink.44652","http://www.fishbase.org/summary/Amblyraja-frerichsi.html"
"Amblyraja georgiana","Antarctic starry skate, Amblyraja georgiana, Georgianrausku, Antarctische doornrog","RAJIFORMES","RAJIDAE","DD",161490,"http://www.iucnredlist.org/details/classify/161490/0","http://www.iucnredlist.org/pdflink.161490","http://www.fishbase.org/summary/Amblyraja-georgiana.html"
"Amblyraja hyperborea","Arktisk rokke, Arktischer Rochen, Arctic skate, Blackbelly skate, Boreal skate, Darkbelly skate, Northern skate, artic skate, Eisrochen, Raie arctique, Arctische rog, Isskate, Raja polarna, Isrocka","RAJIFORMES","RAJIDAE","LC",63119,"http://www.iucnredlist.org/details/classify/63119/0","http://www.iucnredlist.org/pdflink.63119","http://www.fishbase.org/summary/Amblyraja-hyperborea.html"
"Amblyraja jenseni","Jensens rokke, Jensens Rochen, Jensen's skate, Raie de Jensen, shorttail skate, Raie de Jensen, Jensens-skata","RAJIFORMES","RAJIDAE","LC",161491,"http://www.iucnredlist.org/details/classify/161491/0","http://www.iucnredlist.org/pdflink.161491","http://www.fishbase.org/summary/Amblyraja-jenseni.html"
"Amblyraja radiata","morgath bigog, Sternrochen, Sternroche, Starry ray, Maiden ray, Thornback, Thorny back, miller, starry skate, thorny skate, Escrita, Raya radiante, Kynsirausku, Pinnagigga, Amblyraja radiata, Tindaskata, Agdlernak, Kollivsiuternak, Sterrog, Klorokke, Kloskate, Raja promienista, Plaszczka promienista, Raia-repregada, Raia repregada, Vatos spinos, Zvezdchatyi skat, Klorocka","RAJIFORMES","RAJIDAE","VU",161542,"http://www.iucnredlist.org/details/classify/161542/0","http://www.iucnredlist.org/pdflink.161542","http://www.fishbase.org/summary/Amblyraja-radiata.html"
"Amblyraja reversa","Reversed skate, Spiegelbeeldrog","RAJIFORMES","RAJIDAE","DD",161340,"http://www.iucnredlist.org/details/classify/161340/0","http://www.iucnredlist.org/pdflink.161340","http://www.fishbase.org/summary/Amblyraja-reversa.html"
"Amblyraja robertsi","Bigmouth skate, Kitarausku, Grootbekrog","RAJIFORMES","RAJIDAE","LC",161322,"http://www.iucnredlist.org/details/classify/161322/0","http://www.iucnredlist.org/pdflink.161322","http://www.fishbase.org/summary/Amblyraja-robertsi.html"
"Amblyraja taaf","Whiteleg skate, thorny skate, Witpootrog","RAJIFORMES","RAJIDAE","DD",161392,"http://www.iucnredlist.org/details/classify/161392/0","http://www.iucnredlist.org/pdflink.161392","http://www.fishbase.org/summary/Amblyraja-taaf.html"
"Anacanthobatis americanus","Amerikansk lemmerokke, American legskate, American leg skate, Amerikanjalkarausku, Hoko-kasube, Amerikaanse pootrog","RAJIFORMES","ANACANTHOBATIDAE","DD",161481,"http://www.iucnredlist.org/details/classify/161481/0","http://www.iucnredlist.org/pdflink.161481","http://www.fishbase.org/summary/Anacanthobatis-americanus.html"
"Anacanthobatis donghaiensis","East China leg skate, East china legskate, Oost-chinese pootrog","RAJIFORMES","ANACANTHOBATIDAE","DD",161356,"http://www.iucnredlist.org/details/classify/161356/0","http://www.iucnredlist.org/pdflink.161356","http://www.fishbase.org/summary/Anacanthobatis-donghaiensis.html"
"Anacanthobatis folirostris","Bladsnudet lemmerokke, Leaf-nose leg skate, Leafnose legskate, Bladsnuitpootrog","RAJIFORMES","ANACANTHOBATIDAE","DD",161681,"http://www.iucnredlist.org/details/classify/161681/0","http://www.iucnredlist.org/pdflink.161681","http://www.fishbase.org/summary/Anacanthobatis-folirostris.html"
"Anacanthobatis longirostris","Longnose leg skate, Longnose legskate, Langsnuitpootrog","RAJIFORMES","ANACANTHOBATIDAE","DD",161494,"http://www.iucnredlist.org/details/classify/161494/0","http://www.iucnredlist.org/pdflink.161494","http://www.fishbase.org/summary/Anacanthobatis-longirostris.html"
"Anacanthobatis marmoratus","Plettet lemmerokke, Spotted legskate, Spotted leg skate, Marmerpootrog, Raia pintalgada","RAJIFORMES","ANACANTHOBATIDAE","DD",44600,"http://www.iucnredlist.org/details/classify/44600/0","http://www.iucnredlist.org/pdflink.44600","http://www.fishbase.org/summary/Anacanthobatis-marmoratus.html"
"Anacanthobatis nanhaiensis","Sydkinesisk lemmerokke, South China leg skate, Zuid-chinese pootrog","RAJIFORMES","ANACANTHOBATIDAE","DD",161603,"http://www.iucnredlist.org/details/classify/161603/0","http://www.iucnredlist.org/pdflink.161603","http://www.fishbase.org/summary/Anacanthobatis-nanhaiensis.html"
"Anacanthobatis ori","Sort lemmerokke, Black legskate, Black leg skate, Zwarte pootrog, Raia preta","RAJIFORMES","ANACANTHOBATIDAE","DD",44601,"http://www.iucnredlist.org/details/classify/44601/0","http://www.iucnredlist.org/pdflink.44601","http://www.fishbase.org/summary/Anacanthobatis-ori.html"
"Anacanthobatis stenosoma","Narrow leg skate, Narrow legskate, Smalle pootrog","RAJIFORMES","ANACANTHOBATIDAE","DD",161670,"http://www.iucnredlist.org/details/classify/161670/0","http://www.iucnredlist.org/pdflink.161670","http://www.fishbase.org/summary/Anacanthobatis-stenosoma.html"
